sample_name	cloud_points	plane_i,	plane_j	plane_k	axis_i1	axis_j1	axis_k1	axis_i2	axis_j2	axis_k2	elevation chosen_R
KP0287_LM_WP20	6988	-0.2571833176496847	0.9021371930884071	-0.3464177044685669	-0.9021371930884071	-0.2571833176496847	0.0	0.9021371930884071	0.2571833176496847	-0.0	110.26836176121017
KP0294_AC_WP20	1632	-0.5292614673207108	0.8269921451002804	0.18964780819182947	-0.8269921451002804	-0.5292614673207108	0.0	0.8269921451002804	0.5292614673207108	-0.0	79.06776859313787
KP0302_AC_WP20	307	0.30650312697510235	0.644543673097275	0.7004422079120856	-0.644543673097275	0.30650312697510235	0.0	0.644543673097275	-0.30650312697510235	0.0	45.537506821307936
KP0306_LM_WP20	2433	0.3718364253470596	0.2746579785151565	0.886735962743752	-0.2746579785151565	0.3718364253470596	0.0	0.2746579785151565	-0.3718364253470596	0.0	27.534087644067878
KP0350_LM_WP20	76024	0.5103372182525175	0.6580832029753666	0.5536085454795334	-0.6580832029753666	0.5103372182525175	0.0	0.6580832029753666	-0.5103372182525175	0.0	56.385071763995846
KP0387_AC_WP20	18	-0.220843001636528	-0.28054632688327935	0.9340889289037039	0.28054632688327935	-0.220843001636528	0.0	-0.28054632688327935	0.220843001636528	0.0	20.91854991512754
KP0477_AC_WP20	5444	0.15922301613900824	0.9861201318502726	0.04706502619990949	-0.9861201318502726	0.15922301613900824	0.0	0.9861201318502726	-0.15922301613900824	0.0	87.30237608500738
KP0479_AC_WP20	10053	-0.31608244151169534	-0.050916812208932266	0.9473644327303437	0.050916812208932266	-0.31608244151169534	0.0	-0.050916812208932266	0.31608244151169534	0.0	18.67243183289264
KP0490_AC_WP20	718	0.7945096692531441	-0.4959684745154604	-0.35038501359228613	0.4959684745154604	0.7945096692531441	-0.0	-0.4959684745154604	-0.7945096692531441	0.0	110.51086606818883
KP0518_LM_WP20	707	0.42947904140114895	0.6576773754987251	0.618876581197139	-0.6576773754987251	0.42947904140114895	0.0	0.6576773754987251	-0.42947904140114895	0.0	51.7658571866188
KP0554_AC_WP20	7310	0.8367469739807121	0.23030180237949605	-0.49680537573065464	-0.23030180237949605	0.8367469739807121	0.0	0.23030180237949605	-0.8367469739807121	0.0	119.7888694707437
KP0558_LM_WP20	17638	0.5253096100709153	0.2713384194877742	0.8064894764825016	-0.2713384194877742	0.5253096100709153	0.0	0.2713384194877742	-0.5253096100709153	0.0	36.245651818629334
KP0571_AC_WP20	578	0.8719645881871637	-0.2918990281979409	0.39303016968763077	0.2918990281979409	0.8719645881871637	-0.0	-0.2918990281979409	-0.8719645881871637	0.0	66.85682270585788
KP0573_LM_WP20	59	0.5331029195289904	0.8061379239332561	-0.2567935450634354	-0.8061379239332561	0.5331029195289904	0.0	0.8061379239332561	-0.5331029195289904	0.0	104.87988715063221
KP0583_LM_WP20	6161	-0.3772727198508584	0.9217585990857213	0.08959006567618971	-0.9217585990857213	-0.3772727198508584	0.0	0.9217585990857213	0.3772727198508584	-0.0	84.85997568408563
KP0588_LM_WP20	12238	-0.11305511441218603	0.7162579661480348	-0.6886167780665294	-0.7162579661480348	-0.11305511441218603	0.0	0.7162579661480348	0.11305511441218603	-0.0	133.5207143618385
