sample_name	cloud_points	plane_i,	plane_j	plane_k	axis_i1	axis_j1	axis_k1	axis_i2	axis_j2	axis_k2	elevation chosen_R
KP0287_LM_WP20	6988	-0.274214816679593	0.8886733207052003	-0.36751321524561437	-0.8886733207052003	-0.274214816679593	0.0	0.8886733207052003	0.274214816679593	-0.0	111.56233234533376 1
KP0294_AC_WP20	1632	-0.5386409915288942	0.818169121428255	0.20115956598205054	-0.818169121428255	-0.5386409915288942	0.0	0.818169121428255	0.5386409915288942	-0.0	78.39522451741074 2
KP0302_AC_WP20	307	0.3046767455462249	0.6575544238876276	0.689053162208237	-0.6575544238876276	0.3046767455462249	0.0	0.6575544238876276	-0.3046767455462249	0.0	46.44479488972903 2
KP0306_LM_WP20	2433	0.37851855061423156	0.27677131297799606	0.8832447832584904	-0.27677131297799606	0.37851855061423156	0.0	0.27677131297799606	-0.37851855061423156	0.0	27.963708334088857 2
KP0350_LM_WP20	76024	0.32860156401330004	0.48355908651423407	0.8112900973003015	-0.48355908651423407	0.32860156401330004	0.0	0.48355908651423407	-0.32860156401330004	0.0	35.777830410988784 2
KP0387_AC_WP20	18	-0.20575009140909004	-0.20454967477516853	0.9569881558486103	0.20454967477516853	-0.20575009140909004	0.0	-0.20454967477516853	0.20575009140909004	0.0	16.86555880162238 2
KP0477_AC_WP20	5444	0.27444202633921677	0.9546317291878487	0.1155847559440369	-0.9546317291878487	0.27444202633921677	0.0	0.9546317291878487	-0.27444202633921677	0.0	83.36264598488523 1 (but maybe 2)
KP0479_AC_WP20	10053	0.7466013270389508	0.5775857856227711	0.3301228842570659	-0.5775857856227711	0.7466013270389508	0.0	0.5775857856227711	-0.7466013270389508	0.0	70.7237657672529 2
KP0490_AC_WP20	718	0.8338853916124883	-0.5365782089785092	-0.1293018921157078	0.5365782089785092	0.8338853916124883	-0.0	-0.5365782089785092	-0.8338853916124883	0.0	97.42925320580665 can't tell
KP0518_LM_WP20	707	0.44558709332188545	0.6376426565104645	0.6283820373492793	-0.6376426565104645	0.44558709332188545	0.0	0.6376426565104645	-0.44558709332188545	0.0	51.06914719247632 2
KP0554_AC_WP20	7310	0.13287209122101606	0.9493372769494063	0.28478718715707707	-0.9493372769494063	0.13287209122101606	0.0	0.9493372769494063	-0.13287209122101606	0.0	73.45387183642774 1
KP0558_LM_WP20	17638	0.49141738451806755	0.20877803267431724	0.8455298263610003	-0.20877803267431724	0.49141738451806755	0.0	0.20877803267431724	-0.49141738451806755	0.0	32.27125310269297 can't tell
KP0571_AC_WP20	578	0.8725398087296911	-0.28546721750780774	0.396462797637186	0.28546721750780774	0.8725398087296911	-0.0	-0.28546721750780774	-0.8725398087296911	0.0	66.64276372126665 2
KP0573_LM_WP20	59	0.4171805025868449	0.8354657319906302	-0.3577113905521431	-0.8354657319906302	0.4171805025868449	0.0	0.8354657319906302	-0.4171805025868449	0.0	110.95971103825106 1 or 2 can't tell
KP0583_LM_WP20	6161	-0.3887251575529876	0.9181686438898643	0.07654471414051185	-0.9181686438898643	-0.3887251575529876	0.0	0.9181686438898643	0.3887251575529876	-0.0	85.61001691091815 2
KP0588_LM_WP20	12238	0.040715795203169536	0.7797286704735776	-0.624792305060234	-0.7797286704735776	0.040715795203169536	0.0	0.7797286704735776	-0.040715795203169536	0.0	128.66694482069846 1 or 2
KP0287_LM_WP20	6988	-0.26324251154755796	0.9018463018437327	-0.34260272614927734	-0.9018463018437327	-0.26324251154755796	0.0	0.9018463018437327	0.26324251154755796	-0.0	110.03552577228724
KP0294_AC_WP20	1632	-0.5235464977660211	0.812236278085732	0.257237814557602	-0.812236278085732	-0.5235464977660211	0.0	0.812236278085732	0.5235464977660211	-0.0	75.09377326251446
KP0302_AC_WP20	307	0.35013172350645183	0.5602696600940943	0.7506701567082907	-0.5602696600940943	0.35013172350645183	0.0	0.5602696600940943	-0.35013172350645183	0.0	41.351537679504
KP0306_LM_WP20	2433	0.3580034786605029	0.27000511426901763	0.8938292608409918	-0.27000511426901763	0.3580034786605029	0.0	0.27000511426901763	-0.3580034786605029	0.0	26.641554222986603
KP0350_LM_WP20	76024	0.5883836452115363	0.5946327367200882	0.5479202446235796	-0.5946327367200882	0.5883836452115363	0.0	0.5946327367200882	-0.5883836452115363	0.0	56.77555027052734
KP0387_AC_WP20	18	-0.22503170475332473	-0.21133400971904237	0.9511564898542639	0.21133400971904237	-0.22503170475332473	0.0	-0.21133400971904237	0.22503170475332473	0.0	17.981454360918676
KP0477_AC_WP20	5444	0.2390479952617185	0.9653351032042292	0.10480550788500308	-0.9653351032042292	0.2390479952617185	0.0	0.9653351032042292	-0.2390479952617185	0.0	83.98403884321044
KP0479_AC_WP20	10053	0.7536874949084404	0.5700716049734439	0.3270680742928622	-0.5700716049734439	0.7536874949084404	0.0	0.5700716049734439	-0.7536874949084404	0.0	70.9090841806052
KP0490_AC_WP20	718	0.8359957493666635	-0.5362405555080141	-0.1164352767391693	0.5362405555080141	0.8359957493666635	-0.0	-0.5362405555080141	-0.8359957493666635	0.0	96.68641653661999
KP0518_LM_WP20	707	0.3903554722300305	0.6757039900925199	0.6253372874482359	-0.6757039900925199	0.3903554722300305	0.0	0.6757039900925199	-0.3903554722300305	0.0	51.293052261033075
KP0554_AC_WP20	7310	-0.2650289577601457	-0.4545369339019697	0.8503856932401718	0.4545369339019697	-0.2650289577601457	0.0	-0.4545369339019697	0.2650289577601457	0.0	31.74635568799381
