plot_name	sample_name	colony_points	theta	psi	elevation	plane_i,	plane_j	plane_k	axis_i	axis_j	axis_k
cur_sna_05m_20200303	KP0130_AC_SB05	469	-33.626794644476824	-57.27548496354098	120.57852843796712	0.3383350027586974	0.791665706419886	-0.5087188174099471	-0.791665706419886	0.3383350027586974	0.0
cur_sna_05m_20200303	KP0132_HU_SB05	405	-3.07624881768512	-18.074394110113108	18.301694331412975	-0.05102382993007938	-0.3098474838466407	0.9494161919480687	-0.3098474838466407	0.05102382993007938	0.0
cur_sna_05m_20200303	KP0133_HU_SB05	438	-12.277745808472947	41.608318567127725	42.439088628211294	-0.16060871778086291	0.655414379718249	0.7379951426881683	0.655414379718249	0.16060871778086291	-0.0
cur_sna_05m_20200303	KP0134_HU_SB05	109	-25.444359978810592	59.96707764483857	60.86405588478885	-0.2316513755740762	0.8421889077452938	0.486883439711629	0.8421889077452938	0.2316513755740762	-0.0
cur_sna_05m_20200303	KP0135_HU_SB05	681	-9.26225200185192	56.68763394299245	56.83762716789768	-0.08920689865181575	0.8323570535210039	0.5470135872962913	0.8323570535210039	0.08920689865181575	-0.0
cur_sna_05m_20200303	KP0137_HU_SB05	250	88.66292702302366	-83.17295837949942	88.68762610082993	0.9812635122242862	-0.19130436756492436	0.022903242736400493	-0.19130436756492436	-0.9812635122242862	0.0
cur_sna_05m_20200303	KP0138_HU_SB05	45	-84.41259460827297	-86.65314583952348	92.87357388328108	0.5124486379466577	0.857253256453316	-0.05013230262815085	-0.857253256453316	0.5124486379466577	0.0
cur_sna_05m_20200303	KP0139_HU_SB05	107	69.71669454050232	-85.27731833518007	94.60943344355962	-0.21744421369279948	0.9727588581591853	-0.08036303755059448	-0.9727588581591853	-0.21744421369279948	0.0
cur_sna_05m_20200303	KP0140_HU_SB05	199	75.18062871954177	-8.891293705394196	75.19274891488396	0.9659640006227145	-0.03998111256998809	0.2555681125231128	-0.03998111256998809	-0.9659640006227145	0.0
cur_kal_05m_20200214	KP0950_AC_WP05	10676	-14.171778393044798	8.93385689675533	16.565065447235657	-0.24203463945586848	0.1506768922559408	0.9584965870797659	0.1506768922559408	0.24203463945586848	-0.0
cur_kal_05m_20200214	KP0952_HU_WP05	57	8.651594357970023	53.978313719772515	54.14393598753529	0.08912611495026557	0.8055757417975298	0.5857510220744233	0.8055757417975298	-0.08912611495026557	0.0
cur_kal_05m_20200214	KP0954_HU_WP05	15	-63.9017565562173	43.529914252217935	113.9472070841743	0.8285985059090915	-0.3855826654972294	-0.40589472043040015	0.3855826654972294	0.8285985059090915	-0.0
cur_kal_05m_20200214	KP0955_HU_WP05	39	-44.52554442836397	-61.573397377425195	115.53845835333027	0.4240353214680123	0.79644982175933	-0.43111683748961926	-0.79644982175933	0.4240353214680123	0.0
cur_kal_05m_20200214	KP0956_HU_WP05	84	4.213130497731522	13.484180607873066	14.081922940160275	0.07145207557542017	0.23258089096820084	0.9699488285741688	0.23258089096820084	-0.07145207557542017	0.0
cur_kal_05m_20200214	KP0957_HU_WP05	5	-27.24441175828373	65.81563711791176	66.36851160036767	-0.20640318187116535	0.8925888936143809	0.40085258326436446	0.8925888936143809	0.20640318187116535	-0.0
cur_kal_05m_20200214	KP0958_HU_WP05	45	-30.36960149057173	29.543331618084647	39.18809497412959	-0.4541816740107085	0.43929092535739667	0.775075796223487	0.43929092535739667	0.4541816740107085	-0.0
cur_kal_05m_20200214	KP0962_AC_WP05	5204	27.44265130662177	38.699879680782594	43.67324956804114	0.3756010845385682	0.5794617663784102	0.7232896284332191	0.5794617663784102	-0.3756010845385682	0.0
cur_kal_05m_20200214	KP0963_HU_WP05	194	26.93366808292475	-47.3861529641097	129.80924158929813	-0.32528223518763794	0.6959111934005829	-0.6402336123409255	-0.6959111934005829	-0.32528223518763794	0.0
cur_kal_05m_20200214	KP0965_AC_WP05	75	72.13434406449254	-51.67212038640017	73.38105931747715	0.8873071201656524	-0.36178326087077467	0.2860051514519374	-0.36178326087077467	-0.8873071201656524	0.0
cur_kal_05m_20200214	KP0966_AC_WP05	1806	60.45088185992898	-45.28489069973453	63.80423801424999	0.7786833307675098	-0.4458513794132291	0.4414394838028624	-0.4458513794132291	-0.7786833307675098	0.0
cur_kal_05m_20200214	KP0968_HU_WP05	8	57.83913696346241	43.25409909578517	61.578905842625964	0.7569387993757181	0.4477913870478616	0.4759480304459705	0.4477913870478616	-0.7569387993757181	0.0
cur_kal_05m_20200214	KP0969_HU_WP05	12	7.744088980267899	57.26963168853803	57.36872090730715	0.07332940621459544	0.8389595566837003	0.5392306189686411	0.8389595566837003	-0.07332940621459544	0.0
cur_kal_05m_20200214	KP0970_HU_WP05	104	29.801499548218697	-11.86001696046186	31.384324208924088	0.4889444404665692	-0.17927929524417835	0.8536933105240924	-0.17927929524417835	-0.4889444404665692	0.0
cur_kal_05m_20200214	KP0971_HU_WP05	160	29.152583765412256	-15.590934047945753	31.95160540023878	0.47328695318226216	-0.23675945106051113	0.8484953873068354	-0.23675945106051113	-0.47328695318226216	0.0
cur_kal_05m_20200214	KP0972_HU_WP05	151	28.932379543804146	-7.022724777075569	29.524065265604754	0.4809897405937344	-0.10719117783225024	0.8701487923559437	-0.10719117783225024	-0.4809897405937344	0.0
cur_kal_05m_20200214	KP0973_HU_WP05	223	-13.05683419378609	9.671874921926666	16.05587375462511	-0.22286687610127867	0.16377997678337225	0.9609924426038404	0.16377997678337225	0.22286687610127867	-0.0
