,xy,xz,yz,prop,overhang,range
KP0051_AC_SB10,8.602319544118355,17.53035396113229,26.580151578001313,0.5243430822969856,No,0.09704002418356235
KP0052_AC_SB10,2.8731073773300184,18.01369767698663,39.62075146525709,0.509369197155182,No,0.08269655002228292
KP0053_AC_SB10,18.033466171626443,25.086063006723272,2.6553881375358754,0.6182806121991605,No,0.03985970476320339
KP0054_AC_SB10,8.547370854370058,11.71610325026104,29.292371529368545,0.6661913454771264,No,0.033564081000156246
KP0056_AC_SB10,28.157227868039588,39.45475143108769,19.148472445314123,0.45861211671319435,No,0.02113954890638285
KP0057_AC_SB10,3.81901156186862,3.3439339285550895,11.257462997628938,0.5456699434374781,No,0.06656789283397364
KP0058_AC_SB10,10.947530290998065,15.31496695580824,3.69813538122821,0.5116200006282923,No,0.0712486962387588
KP0059_AC_SB10,13.660742085243195,9.45188652410698,14.737837693591098,0.6952625827826131,No,0.024808334589112857
KP0061_AC_SB10,16.91613929061444,18.813180411995212,9.28969177060594,0.6924172024358314,No,0.11609444442770232
KP0062_AC_SB10,3.601016432798844,9.695441979946796,13.090474471344294,0.5435866454375932,No,0.07332822539165894
KP0064_AC_SB10,13.365913644334627,3.177546571706528,1.243093986412633,0.6006552054438358,No,0.06355514961227826
KP0065_AC_SB10,16.382384290131263,29.647575819044373,12.189597298611966,0.6243507585058723,No,0.03942291432055722
KP0066_AC_SB10,8.006502685321317,8.145763098939717,8.332626378438434,0.49293667463778496,No,0.0884183492607927
KP0067_LM_SB10,6.851583754744212,6.299691511982387,54.80614804397258,0.5427551905000718,No,0.060619272060713186
KP0068_AC_SB10,6.711976793788203,6.176471299338322,4.367448374733777,0.5798938346005085,No,0.04009660611988281
KP0069_AC_SB10,12.422647236023861,42.10921504529269,1.4979670158650757,0.6011561645791211,Yes,0.21468030667405164
KP0070_AC_SB10,21.996049022133082,25.263404373698805,38.483157507032345,0.3845823203867676,No,0.0874693749126444
KP0071_AC_SB10,40.87016507030647,10.597141412887082,21.713322198456638,0.4432037976176629,No,0.07056233314113106
KP0072_AC_SB10,2.0232016423831034,7.417684991269338,22.17728341200074,0.4531641379703518,No,0.0386944658270037
KP0073_HU_SB10,10.596020152834733,35.51705415283935,3.8255873155659557,0.687959538327861,No,0.020375635958623992
KP0074_AC_SB10,34.3425134230785,7.500352715360297,25.154567593851265,0.6549698618896068,No,0.04687839938643155
KP0076_AC_SB10,23.86741722936805,26.366827940360363,4.221147309338357,0.5542246476392803,No,0.05451575874831606
KP0077_AC_SB10,42.75086233345734,11.35775538153936,21.17167405720205,0.47916991580600454,No,0.04150117994660352
KP0078_AC_SB10,16.89031097552366,13.521204009810905,16.708931249634677,0.4995694714730135,No,0.029751049690567525
KP0079_LM_SB10,14.636371475515077,29.83283576891189,6.650270610177368,0.5187521767173394,No,0.04193673503797598
KP0082_AC_SB10,19.976885063652013,2.37651023490661,8.033463354810333,0.5820333772650931,No,0.09472323397835035
KP0083_AC_SB10,0.8275151064636324,15.125280936033468,14.182375389456874,0.4987853048960192,No,0.09881686027234186
