,xy,xz,yz,prop,overhang,range
KP0739_HU_WP10,5.373550895439338,11.10686487823958,8.969229267529304,0.7917242020260224,No,0.017785244436803297
KP0740_HU_WP10,20.930751630247,54.46275425670578,12.04100769134437,0.51605666611178,No,0.01080287956225684
KP0741_AC_WP10,5.873922509616003,8.263395883272896,8.590751574792595,0.5184222987014286,Yes,0.14127585071271956
KP0742_AC_WP10,11.928774069047433,11.751805921066932,11.243642367813385,0.7799028189018498,No,0.06484389977296005
KP0743_AC_WP10,12.349420266222424,13.321355213685791,28.39530657572917,0.5660868480493461,No,0.13694268672168797
KP0744_HU_WP10,13.319033424379848,1.8039567170070854,19.806949885735563,0.46893585325555054,No,0.01670034250296937
KP0745_AC_WP10,3.5805734791498707,5.970989344864311,14.658295483891088,0.49800058981800044,No,0.0481655570830276
KP0746_AC_WP10,2.563191012453104,5.549280366049149,4.866259351134901,0.48196642544813006,No,0.08953189846147534
KP0747_AC_WP10,1.9050875575088073,14.041922553976113,22.21535808904698,0.4164329571551107,No,0.06003762887474815
KP0748_AC_WP10,19.276956238406736,27.391150923077724,7.919828602660574,0.6512986322735314,No,0.0292648805684281
KP0749_AC_WP10,21.497929905421227,24.23390349471483,14.054453013975813,0.6156107185355431,No,0.10925157944807333
KP0750_AC_WP10,36.946685102541906,4.222041273456889,6.087409598760324,0.7891518720567166,No,0.011056039156820675
KP0751_AC_WP10,3.116731578523148,2.1804001395252923,19.830680045774347,0.6462446214056297,No,0.04027082995748951
KP0752_AC_WP10,35.28896481812742,19.514118238959963,22.516557579530332,0.5164496723478613,No,0.011171361435249827
KP0753_AC_WP10,0.7934412544435153,0.9462892424737681,4.387697605488817,0.577213151522536,No,0.07637128280096032
KP0754_LM_WP10,7.379910559547567,20.359312371202133,50.019956244952546,0.41226913574267876,Yes,0.22674579466115977
KP0755_AC_WP10,21.01482532976071,21.41121903140334,6.041184355626608,0.4975037591195212,No,0.1596565105230728
KP0756_AC_WP10,1.6064164336542543,25.805094239605626,15.234507362667207,0.3958754330814026,Yes,0.11925252478603492
KP0757_AC_WP10,9.7372251549763,29.049301589590776,25.037493450851187,0.47510231515425116,No,0.05089411424376233
KP0758_AC_WP10,5.05892257410777,5.827230121709119,30.647143161656505,0.513762389617015,No,0.09915016146420401
KP0759_AC_WP10,0.4348203425722428,34.34874514795878,51.795307412637385,0.5576045283921681,No,0.06668728120884362
KP0760_AC_WP10,3.5912896754882127,8.780470477613424,26.20329907490652,0.44747254608336595,No,0.13211017096775016
KP0761_AC_WP10,9.034340856961155,12.91272510554957,37.566143538706385,0.48106255948147725,No,0.07807318637274531
KP0762_AC_WP10,9.01171380536468,1.1741328416485735,1.6819186836965807,0.4943682243465068,No,0.07809103067857084
KP0763_LM_WP10,4.821988416703825,28.024965438843374,0.031301167266036004,0.5182945201381396,Yes,0.17997494675079828
KP0764_HU_WP10,2.319885296094344,9.11195853027474,34.54428286236972,0.5453715508074564,No,0.04157564410434377
KP0765_AC_WP10,17.038690892628118,21.739730227000262,13.580422421528333,0.48379924229881915,No,0.06209247836812248
KP0766_AC_WP10,8.101058445644512,11.686337200736281,23.23351445318073,0.48337323410458916,No,0.08037025198316863
KP0767_AC_WP10,12.942811988718747,30.51649764845231,7.825691346586768,0.39788988173507706,No,0.0903017507229034
KP0768_HU_WP10,20.592489437318566,22.032686845453206,3.700823093856192,0.5248953540950257,No,0.02700264679597901
KP0769_AC_WP10,6.202733438305244,17.540693501998383,11.38273355037669,0.6929713477757798,No,0.3052599768994223
KP0770_AC_WP10,17.165781248314044,20.16419513394982,34.969729844999456,0.4569666313553717,No,0.015907475419157935
KP0771_AC_WP10,0.6915028855973869,13.766154286262017,4.818697715030081,0.48336165938825343,No,0.061941154207529645
KP0772_AC_WP10,7.907607324118732,1.3004722776047437,8.89741635045028,0.4311254508004894,No,0.03280805559813124
KP0773_AC_WP10,4.224488953432598,30.484196042773945,11.788338575154912,0.5241358319044009,No,0.07739172029879865
KP0774_AC_WP10,17.165073729124554,28.146085875462237,23.147634113544324,0.516870326310068,No,0.02091907311203708
KP0775_HU_WP10,18.164491121195056,15.083930244773896,38.55801985146844,0.5081470616216744,No,0.02462151849814968
KP0777_AC_WP10,14.536283069161259,40.784790720047745,3.490409511436624,0.5513191834308124,No,0.0817437498232369
KP0778_AC_WP10,7.448942959593592,17.5347462537325,34.64651629020659,0.580978257854808,No,0.08139200890600748
KP0779_AC_WP10,51.07236339282118,1.460737059704551,3.6462458497686705,0.778583087708066,No,0.08500750236434973
KP0780_AC_WP10,1.0304601426258757,2.939237659002127,21.79396027739508,0.580409065997305,No,0.08929048583868221
KP0781_AC_WP10,35.651948029900225,10.363199028317501,10.52781937154249,0.4374093399945479,No,0.02876979434331942
KP0782_AC_WP10,23.811308036412093,10.148193133235553,20.41617681031565,0.6611291820211037,No,0.09736848659502349
KP0783_HU_WP10,15.178874691937132,23.28973781347989,28.35053305719711,0.7030223030157783,No,0.02977856639629449
KP0784_AC_WP10,17.352982145109863,20.94721008509987,7.145509636013642,0.6152194203081428,No,0.06993145063388422
KP0785_AC_WP10,3.2424995794824154,29.999078669111263,24.922726354213616,0.6169107105576606,No,0.023108564923300077
KP0786_HU_WP10,16.3192084369407,8.114309967009907,4.740257188291602,0.7345403974011259,No,0.01623931171772467
KP0787_AC_WP10,11.722766088623112,23.601816497919266,9.51791267375597,0.670680240454713,No,0.22539234338242983
KP0788_AC_WP10,14.050007687196205,12.842253221982372,6.886124690208825,0.8073754821995425,No,0.023093145281269368
KP0789_HU_WP10,19.905636363306062,40.97983032461726,29.359948371017634,0.4983391788444991,No,0.014303090106215381
KP0790_AC_WP10,22.977239479114655,19.321313988134484,20.36601261583397,0.5796274398573159,No,0.054243875343573514
KP0791_AC_WP10,9.762136123473029,21.078177059454514,2.2843140540190388,0.4366516042679358,No,0.031148981276832338
KP0792_AC_WP10,28.492564098597608,22.402899755944162,23.949417722309622,0.5916755004029938,No,0.07774914817548975
