,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0287_LM_WP20,36.755766745672446,67.17280767947011,[1.20805238],0.14337175792507204,0.41737469082207146,2.098085480670146,0.16147725955473008
KP0288_LM_WP20,26.054148226186825,37.67146722498733,[2.10313406],0.13480936369980334,0.45459601634131347,2.124404865004551,0.192994662790927
KP0289_AC_WP20,21.32131023554052,15.201890342219455,[1.76667045],0.00953320184089415,0.443748116850934,2.1395996306305203,0.08524912600603311
KP0290_LM_WP20,0.027436219965574448,24.920533504975648,[1.27062783],0.0,0.4914505714208565,1.727774093392667,0.10155993608591661
KP0291_AC_WP20,21.99057284276831,73.34344035912568,[1.10623581],0.05303030303030303,0.47785907487944296,2.1338576473008124,0.036430247614287356
KP0292_AC_WP20,82.89839984889453,46.84134672305696,[2.97343851],0.0,0.765080516002334,1.4656714511128814,0.04202647520511897
KP0293_LM_WP20,8.526713378512758,57.05605622210769,[1.25046855],0.0011022320198401765,0.5375280544739249,1.8936308370538466,0.20136521812451338
KP0294_AC_WP20,66.80400092191803,74.59845839582411,[1.46496373],0.05783783783783784,0.4832103116246571,2.488138837133579,0.07209266209383945
KP0295_AC_WP20,18.333602801928528,33.82652327545107,[1.64308851],0.005881254667662435,0.6477105697760559,1.9020108151274906,0.1392516310961565
KP0296_AC_WP20,22.201329534992883,25.80950263232083,[1.84630866],0.0,0.5069624697335893,1.777118499179869,0.027384867470405846
KP0297_AC_WP20,34.49935908388707,59.9880351593841,[1.62919277],0.012106537530266344,0.5045439188043382,1.926056969704571,0.034853831416438025
KP0298_AC_WP20,5.108332538069451,43.81626000915958,[1.14268565],0.018830525272547076,0.3845180762696952,2.512179463555906,0.05438946773930315
KP0299_AC_WP20,41.90286301690234,59.96328409179473,[2.13510051],0.0,0.4947704517357882,2.0014147639529587,0.03908459568824089
KP0300_AC_WP20,72.22751010653877,67.75399045206275,[3.00411988],0.013961605584642234,0.5097082448867205,2.3240329413994982,0.040144847531793315
KP0301_AC_WP20,42.306163228790396,39.0626261175234,[1.9689721],0.0,0.4315582693439869,2.366616148917676,0.034438941741519555
KP0302_AC_WP20,26.116537295728325,43.77573539645918,[1.05827074],0.05188679245283019,0.372873956280956,2.492943307871535,0.027537488195492853
KP0303_AC_WP20,48.09874252462504,74.5978863651047,[1.52160936],0.011789924973204717,0.4294855092296448,2.5547168809184657,0.057614196418462646
KP0304_AC_WP20,74.47322390243582,71.92912050499453,[2.68702194],0.0003045994517209869,0.4246050235376443,2.3648075296982687,0.11715713901891044
KP0305_AC_WP20,83.77986991400265,86.37430956514848,[1.99217267],0.0,0.8331350351530203,1.8771944697743184,0.09084180210253433
KP0306_LM_WP20,23.046006540177526,16.954320324550785,[1.63348664],0.03540489642184558,0.4504614202144638,1.49347124519346,0.09256407413984351
KP0309_AC_WP20,85.24807693788107,83.60199950658173,[2.08438199],0.007283321194464676,0.6335666741341984,2.1028635566308367,0.07435244610333692
KP0310_AC_WP20,71.36968877752753,3.0817829843035036,[1.62873166],0.0,0.8135570858621881,2.0075355385948432,0.14546626213885663
