X,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0287_LM_WP20,36.7557667456724,67.1728076794701,1.20805238,0.143371757925072,0.417374690822071,2.09808548067015,0.16147725955473
KP0288_LM_WP20,26.0541482261868,37.6714672249873,2.10313406,0.134809363699803,0.454596016341313,2.12440486500455,0.192994662790927
KP0289_AC_WP20,21.3213102355405,15.2018903422195,1.76667045,0.00953320184089415,0.443748116850934,2.13959963063052,0.0852491260060331
KP0290_LM_WP20,0.0274362199655744,24.9205335049756,1.27062783,0,0.491450571420857,1.72777409339267,0.101559936085917
KP0291_AC_WP20,21.9905728427683,73.3434403591257,1.10623581,0.053030303030303,0.477859074879443,2.13385764730081,0.0364302476142874
KP0292_AC_WP20,82.8983998488945,46.841346723057,2.97343851,0,0.765080516002334,1.46567145111288,0.042026475205119
KP0293_LM_WP20,8.52671337851276,57.0560562221077,1.25046855,0.00110223201984018,0.537528054473925,1.89363083705385,0.201365218124513
KP0294_AC_WP20,66.804000921918,74.5984583958241,1.46496373,0.0578378378378378,0.483210311624657,2.48813883713358,0.0720926620938395
KP0295_AC_WP20,18.3336028019285,33.8265232754511,1.64308851,0.00588125466766243,0.647710569776056,1.90201081512749,0.139251631096156
KP0296_AC_WP20,22.2013295349929,25.8095026323208,1.84630866,0,0.506962469733589,1.77711849917987,0.0273848674704058
KP0297_AC_WP20,34.4993590838871,59.9880351593841,1.62919277,0.0121065375302663,0.504543918804338,1.92605696970457,0.034853831416438
KP0298_AC_WP20,5.10833253806945,43.8162600091596,1.14268565,0.0188305252725471,0.384518076269695,2.51217946355591,0.0543894677393032
KP0299_AC_WP20,41.9028630169023,59.9632840917947,2.13510051,0,0.494770451735788,2.00141476395296,0.0390845956882409
KP0300_AC_WP20,72.2275101065388,67.7539904520628,3.00411988,0.0139616055846422,0.509708244886721,2.3240329413995,0.0401448475317933
KP0301_AC_WP20,42.3061632287904,39.0626261175234,1.9689721,0,0.431558269343987,2.36661614891768,0.0344389417415196
KP0302_AC_WP20,26.1165372957283,43.7757353964592,1.05827074,0.0518867924528302,0.372873956280956,2.49294330787153,0.0275374881954929
KP0303_AC_WP20,48.098742524625,74.5978863651047,1.52160936,0.0117899249732047,0.429485509229645,2.55471688091847,0.0576141964184626
KP0304_AC_WP20,74.4732239024358,71.9291205049945,2.68702194,0.000304599451720987,0.424605023537644,2.36480752969827,0.11715713901891
KP0305_AC_WP20,83.7798699140026,86.3743095651485,1.99217267,0,0.83313503515302,1.87719446977432,0.0908418021025343
KP0306_LM_WP20,23.0460065401775,16.9543203245508,1.63348664,0.0354048964218456,0.450461420214464,1.49347124519346,0.0925640741398435
KP0309_AC_WP20,85.2480769378811,83.6019995065817,2.08438199,0.00728332119446468,0.633566674134198,2.10286355663084,0.0743524461033369
KP0310_AC_WP20,71.3696887775275,3.0817829843035,1.62873166,0,0.813557085862188,2.00753553859484,0.145466262138857
KP0311_AC_WP20,39.1254051648972,17.3580341415096,2.00787081,0,0.742379987415016,2.37949140091541,0.0363756140586819
KP0312_AC_WP20,83.8355563426059,68.1363943637062,3.2797877,0,0.777295764638443,2.45591601482503,0.0324762056463965
KP0313_AC_WP20,58.8071850137151,78.9733934308976,1.51508352,0.00204081632653061,0.764894515478604,2.00902455533515,0.0603915208003086
KP0315_AC_WP20,66.32904703011,38.4488947916401,2.60028022,0,0.601549716256291,2.48935788410104,0.048023661107018
KP0316_AC_WP20,65.0660651417492,58.0822278041971,5.10281536,0,0.57003893627704,2.61996191328655,0.0165416222618159
KP0317_AC_WP20,49.4600402891838,65.523320136085,2.01886508,0,0.499931854835012,2.59818711405847,0.0287400809817318
KP0318_LM_WP20,49.0863775974906,12.0177010611247,3.90500648,0.0072289156626506,0.413594377783744,1.81238371300904,0.0401680771034605
KP0319_LM_WP20,49.0350739444095,12.9854398699089,3.59764283,0.219327176781003,0.220086504355902,1.73020137967364,0.0822077229750817
KP0320_LM_WP20,47.359268731351,13.6309902930236,1.93717021,0.209694793536804,0.199474496432685,1.89780235700898,0.145911220409756
KP0321_LM_WP20,48.5356497182217,35.6430009885831,3.42106687,0.0278044103547459,0.54177840945111,2.33599171583044,0.0489517787330366
KP0322_LM_WP20,21.730554191012,15.7798446069627,1.94037582,0.153476983349657,0.41327982738955,2.14887633194759,0.301774182405638
KP0323_AC_WP20,34.5367656285758,67.7653032882295,1.84539264,0,0.850135815164217,2.73195043788689,0.0150713193914403
KP0324_AC_WP20,76.1253961523999,79.4670580137961,2.63721989,0,0.763405514385159,2.85321042801039,0.08469531546854
KP0325_AC_WP20,9.41878900598221,58.2295286759868,1.23081191,0.00727272727272727,0.620892234019117,2.30619465909965,0.0470997679024145
KP0326_AC_WP20,47.8433529758633,62.0031616547143,2.84421887,0,0.70709239282451,2.09875238190168,0.0709912236846011
KP0327_AC_WP20,70.3606784709208,80.4931655906494,1.81552471,0.00841883714811892,0.608996186854559,2.73119544503089,0.0961915628168582
KP0328_LM_WP20,36.1902984502689,32.5572587903718,2.53203472,0.0117130307467057,0.523457147873878,2.1883341329621,0.0657652945482771
KP0329_AC_WP20,41.2260732939669,41.787672935986,2.40169936,0.00920309558669734,0.573808539357577,2.18317626542621,0.0967450335564861
KP0330_LM_WP20,22.677374479472,10.0329227019645,1.28807686,0.011522633744856,0.590380033593155,2.17390057137922,0.129048612597456
KP0331_AC_WP20,11.3000978834557,11.2892953750103,1.56883789,0.0211081794195251,0.523413995396067,2.0936923375942,0.0842257094254998
KP0332_AC_WP20,69.1447190533464,73.5921303666042,2.18325986,0,0.634324117418506,2.12599500540545,0.0685061050967132
KP0333_AC_WP20,64.5480059932529,50.1238213895359,2.9533315,0,0.660138305488075,2.0233266515129,0.0247740875215392
KP0334_AC_WP20,77.0868814151871,67.7051684032134,2.43192931,0.0201438848920863,0.623013369164885,1.89303517187845,0.0599323066736426
KP0335_AC_WP20,63.8421819221686,76.6246203058515,3.10875665,0,0.842391324957798,1.80166463253779,0.0433111542729752
KP0336_AC_WP20,8.08387708797277,21.466693778673,1.27545322,0,0.839843485717489,1.91462784437973,0.048816624766846
KP0337_AC_WP20,50.8335194316345,52.6050887949609,1.9748968,0,0.822251335817536,2.03890960211415,0.0435374882808348
KP0338_AC_WP20,72.6773450699462,78.5989565934784,1.72813617,0,0.772391880781682,2.13569273801857,0.156696481860223
KP0339_AC_WP20,74.6282790294269,31.1827612075575,1.86542807,0.0547667342799189,0.542168099519885,2.25597467477666,0.0269085446457159
KP0340_AC_WP20,17.3491580062911,20.8663631576259,1.40642914,0.0159266409266409,0.569737069101575,2.20259777474699,0.157455789166433
KP0341_LM_WP20,67.0439459814708,5.04755208616311,1.62089213,0.10043795620438,0.390611565360658,1.70610190801134,0.114100816809471
