,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0130_AC_SB05,40.47253745706299,67.77680500785466,[2.10759069],,0.38941282098604935,1.6144094266580444,0.027113178956003958
KP0132_HU_SB05,43.49991730283096,5.616292835990379,[1.45897009],,0.6207317749161828,1.9801932013345451,0.02924119554203976
KP0133_HU_SB05,55.146067887406055,10.101260674636762,[1.52798009],,0.5124499758712383,1.9625805022453742,0.029691595335722694
KP0134_HU_SB05,30.926989633150498,10.016608974758867,[1.70952432],,0.6006028837482761,1.6213747521480457,0.02111268939111204
KP0135_HU_SB05,33.68831891654689,6.146144415111465,[1.34357712],,0.6547420556963435,1.3496313231898707,0.03428723284415589
KP0137_HU_SB05,10.802671200606753,11.013725956758124,[2.10236131],,0.47894967633893354,2.058064587789489,0.022478684340776146
KP0138_HU_SB05,28.60483156753783,61.62902882841731,[3.8709838],,0.41311139201961944,3.3427473772454284,0.009273946186013413
KP0139_HU_SB05,11.922734205621742,11.397735244628123,[4.4582616],,0.5058419909438678,2.5835541391828336,0.013775104479925039
KP0140_HU_SB05,2.115392964065535,14.502403350634497,[1.45111844],,0.4096615380863883,1.9436419362820192,0.01687970330190581
