,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0613_LM_SB20,25.09082087475226,4.78224363600759,[2.14466853],0.0031989377112506038,0.49093962918926165,2.1817281919856004,0.15420169583933502
KP0614_LM_SB20,18.378987753604427,45.40240760261258,[1.41247018],0.08219946696591388,0.38970519563496436,2.013242549644711,0.11285641469989709
KP0615_AC_SB20,1.3058336558774295,11.837078554913589,[1.11282563],0.0,0.48394612959405087,1.9955271928200697,0.02152954897532072
KP0616_LM_SB20,11.316444785782222,11.692060873890396,[1.23258908],0.10845295055821372,0.3089127013025998,1.7173510119917534,0.07637802201698687
KP0617_LM_SB20,47.040022360424565,11.479806869533155,[4.61905957],0.0009192115207843939,0.46515786768231293,1.9612223151593302,0.17876250186881762
KP0618_LM_SB20,46.27494447418343,55.818442468754775,[1.8012077],0.05415526429497335,0.5566837173859364,2.2323165809259704,0.109613358819656
KP0619_AC_SB20,4.557377887724269,35.10018078694765,[1.83196357],0.0,0.512773547436614,2.319149759558617,0.06051440246523425
KP0620_LM_SB20,20.818677174918882,24.586993597278095,[1.26404537],0.12409200968523003,0.4660626431821221,2.2573484771922625,0.13514666434942438
KP0621_LM_SB20,34.16789506892633,27.182789357019626,[2.4342785],0.11028251828481285,0.47755932556786257,2.0743192771297148,0.10826371242199574
KP0623_LM_SB20,54.61018409062579,9.439393915589045,[2.71504249],0.00862559241706161,0.3303401174797688,1.746738454861592,0.21358160456238084
KP0624_AC_SB20,6.626103953862667,11.837173871265776,[1.02449464],0.0736621534493875,0.6188254351423812,2.041321056917373,0.1600926702116064
KP0626_AC_SB20,20.088800031081533,3.578663025668549,[1.24615526],0.004853695742615449,0.5940984213830446,1.9981122728183123,0.12053655963583638
KP0628_AC_SB20,1.7402683552271325,43.82035418517732,[1.02464628],0.025380710659898477,0.5483515905587644,2.0952206163631852,0.048396763618178934
KP0629_LM_SB20,42.74841176071161,36.58200267773602,[2.77681093],0.158445741896517,0.5054481071155088,2.9031434671354903,0.09763438787598515
KP0630_AC_SB20,70.48865777150942,4.427212708251941,[1.7432682],0.11805555555555555,0.5234855370080208,2.1766695841188777,0.026117052573951704
KP0631_LM_SB20,0.48954432838830647,4.897911373308509,[1.41593264],0.17694691592522244,0.44164077636089916,2.152477384713196,0.1446132303947363
KP0632_AC_SB20,22.795644474206043,33.572806583223255,[2.08877283],0.0,0.6097661406272706,2.1205830370310177,0.015874228650017034
KP0633_AC_SB20,43.20312170613045,35.37293130597006,[2.20676868],0.033515392254220455,0.5275878183493553,2.337590832324317,0.11601023029295156
KP0635_AC_SB20,24.65095802970113,77.07059457415704,[2.23628621],0.0,0.5559581829790103,2.3452238301303567,0.08103292098879536
KP0636_AC_SB20,85.23879213570814,85.57607142975118,[2.54022987],0.0,0.6605197971808725,2.055379319202977,0.05894303622403729
KP0637_LM_SB20,33.39674500933624,21.526513869668072,[1.93876662],0.09116782959970621,0.4686716573637022,2.2653445391829163,0.14832425811229946
KP0638_AC_SB20,18.898143301820085,7.385440695671279,[1.70182979],0.0006329113924050633,0.49831660476932277,2.333843160295289,0.12637310112856162
KP0639_LM_SB20,52.06492968942938,23.803326540483134,[4.15611259],0.17316806416332484,0.46308797810598673,2.396779915333549,0.29226362598363503
