Individual,Species,Population,Site,Loc,Depth,V1,V2,V3,V4,V5,V6,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,Q.Clust5,Q.Clust6
KP0671_AC_SB20,AC,AC_SB20,SB20,SB,20,-48.5164135,-8.741346,0.69145235,-0.705428446,-5.58530501,-0.040284076,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0676_LM_SB20,LM,LM_SB20,SB20,SB,20,-47.9237901,-8.138057,-0.54456964,0.695629924,9.455663946,0.138673286,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0677_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.5026256,-9.321635,0.43047661,-0.298507196,-4.435354265,0.050545207,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0678_AC_SB20,AC,AC_SB20,SB20,SB,20,15.3627151,-9.227444,-14.57619944,1.520520944,-0.977461133,-0.051344917,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0679_AC_SB20,AC,AC_SB20,SB20,SB,20,16.3062181,-10.278514,0.35555632,-0.077129235,0.009298784,0.090612238,1,0.876146,1e-05,1e-05,0.123814,1e-05,1e-05
KP0680_LM_SB20,LM,LM_SB20,SB20,SB,20,-47.846355,-8.700816,0.43496815,-0.55087432,-6.504420803,-0.218542661,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0682_LM_SB20,LM,LM_SB20,SB20,SB,20,-49.2053931,-8.777061,0.56230761,-0.753246599,-5.5281008,-0.099016225,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0686_AC_SB20,AC,AC_SB20,SB20,SB,20,16.123243,-10.478468,0.90804657,-0.124151919,0.026764634,0.175998831,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0688_AC_SB20,AC,AC_SB20,SB20,SB,20,16.2183366,-10.617089,1.05351734,-0.074625607,-0.056443835,0.128533571,1,0.990021,1e-05,1e-05,0.009939,1e-05,1e-05
KP0690_AC_SB20,AC,AC_SB20,SB20,SB,20,14.8709894,-9.099496,-14.05148331,1.464847817,-1.14756624,0.264177667,4,1e-05,1e-05,1e-05,0.999939,1.9e-05,1.2e-05
KP0691_AC_SB20,AC,AC_SB20,SB20,SB,20,16.6031238,-10.63577,0.92968267,-0.020424138,0.041819707,0.043771943,1,0.988817,1e-05,1e-05,0.011143,1e-05,1e-05
KP0694_LM_SB20,LM,LM_SB20,SB20,SB,20,-49.3384903,-8.642344,0.04246841,-0.213080101,-3.989941623,-0.056860229,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0696_AC_SB20,AC,AC_SB20,SB20,SB,20,15.5029283,-9.463214,-13.35564977,1.413449108,-0.86173083,-0.076277434,4,0.055565,1e-05,1e-05,0.944395,1e-05,1e-05
KP0698_AC_SB20,AC,AC_SB20,SB20,SB,20,16.6340552,-10.830231,1.83483817,-0.178914883,0.130325621,0.039656867,1,0.949743,1e-05,1e-05,0.050217,1e-05,1e-05
KP0703_AC_SB20,AC,AC_SB20,SB20,SB,20,15.4903841,-10.05139,0.3615966,0.192655749,-0.132198295,-0.053544305,1,0.998314,1e-05,1e-05,0.001646,1e-05,1e-05
KP0704_AC_SB20,AC,AC_SB20,SB20,SB,20,16.1099471,-10.050067,1.22644525,-0.097113052,-0.09493526,0.018494107,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0706_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.0852459,-9.11665,0.30737061,-0.479603966,-4.501581679,0.020834087,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0707_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.5708317,-9.262936,0.46008944,-0.481570126,-5.492288872,0.09945559,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0708_AC_SB20,AC,AC_SB20,SB20,SB,20,15.4648512,-10.271065,1.16651002,0.017864082,-0.024801472,0.057765852,1,0.940876,1e-05,1e-05,0.059084,1e-05,1e-05
KP0711_AC_SB20,AC,AC_SB20,SB20,SB,20,15.129366,-10.019187,1.00876102,0.103331786,0.100146258,0.180280494,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0712_AC_SB20,AC,AC_SB20,SB20,SB,20,9.175151,-6.546532,0.41673046,-0.21963721,0.179409535,0.49290766,1,0.999949,1e-05,1e-05,1e-05,1.1e-05,1e-05
KP0714_AC_SB20,AC,AC_SB20,SB20,SB,20,15.91458,-10.047359,1.0753453,-0.039376251,0.188037846,-0.003353974,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0716_LM_SB20,LM,LM_SB20,SB20,SB,20,-50.2548944,-8.744614,-0.74318829,1.073605505,11.14102685,0.161395146,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0717_AC_SB20,AC,AC_SB20,SB20,SB,20,14.4080714,-9.732566,0.63456144,0.101732509,0.103572208,-0.142309303,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0718_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.6111586,-9.176436,0.78551035,-0.495341504,-5.07965757,-0.083841325,2,1e-05,0.988872,1e-05,1e-05,0.011088,1e-05
KP0720_AC_SB20,AC,AC_SB20,SB20,SB,20,14.1851094,-9.352485,0.73961491,-0.034797261,0.035202727,0.194636556,1,0.999949,1e-05,1e-05,1e-05,1e-05,1.1e-05
KP0723_NA_NANA,NA,NA_NANA,NANA,NA,NA,-50.9779853,-8.903775,0.28865931,-0.339288122,-4.275322061,0.024373086,2,1e-05,0.877432,1e-05,1e-05,0.122528,1e-05
KP0724_AC_SB20,AC,AC_SB20,SB20,SB,20,10.4225883,-7.160743,0.6023322,-0.217697143,0.009671167,0.402726929,1,0.999948,1e-05,1e-05,1e-05,1.2e-05,1e-05
KP0727_AC_SB20,AC,AC_SB20,SB20,SB,20,16.2838181,-10.542818,0.82616688,-0.085599029,-0.045326924,0.038982148,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0730_AC_SB20,AC,AC_SB20,SB20,SB,20,15.5899577,-10.276821,1.63364224,-0.163928799,-0.004340044,-0.012908814,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0731_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.3835522,-8.867849,-0.75616706,1.063673408,10.66222777,0.102930354,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0732_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.3921961,-9.22662,0.33961046,-0.49060437,-5.502686943,0.004885335,2,1e-05,0.999949,1e-05,1e-05,1e-05,1.1e-05
KP0734_AC_SB20,AC,AC_SB20,SB20,SB,20,15.76679,-10.472996,1.33534914,-0.098584036,0.059162879,0.207201844,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0739_HU_WP10,HU,HU_WP10,WP10,WP,10,1.2684185,37.040175,0.74110538,4.958063942,-0.419309275,-2.648835608,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0742_AC_WP10,AC,AC_WP10,WP10,WP,10,12.8527244,-8.624866,1.13188049,-0.291795589,-0.147151217,-0.131959665,1,0.961785,1e-05,1e-05,0.038166,1e-05,1.9e-05
KP0744_HU_WP10,HU,HU_WP10,WP10,WP,10,1.2470396,36.044328,0.23177739,-1.212610691,0.099632353,9.978488558,7,1e-05,1e-05,0.755285,1e-05,1e-05,0.244675
KP0746_AC_WP10,AC,AC_WP10,WP10,WP,10,16.526743,-10.602305,0.74824658,0.039133166,-0.000154979,-0.261754623,1,0.867255,1e-05,1e-05,0.132705,1e-05,1e-05
KP0747_AC_WP20,AC,AC_WP20,WP20,WP,20,16.5850876,-10.721798,2.04088025,-0.287896401,0.108004069,-0.106576989,1,0.969382,1e-05,1e-05,0.030578,1e-05,1e-05
KP0748_AC_WP10,AC,AC_WP10,WP10,WP,10,16.6042156,-10.665841,1.61614955,-0.14684966,0.115539801,-0.069677512,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0749_AC_WP20,AC,AC_WP20,WP20,WP,20,16.4728143,-10.609021,1.47902596,0.107360023,0.027817071,-0.256245084,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0751_AC_WP10,AC,AC_WP10,WP10,WP,10,14.9144254,-9.784586,1.6143825,-0.198978453,0.348487628,-0.163986483,1,0.985311,1e-05,1e-05,0.014648,1.2e-05,1e-05
KP0753_AC_WP10,AC,AC_WP10,WP10,WP,10,16.3434871,-10.43791,1.57674425,-0.08975953,0.145523139,-0.13382144,1,0.999942,1e-05,1e-05,1e-05,1e-05,1.8e-05
KP0757_AC_WP10,AC,AC_WP10,WP10,WP,10,16.3410452,-10.53387,0.8461779,-0.063288913,0.078112869,-0.276767881,1,0.987287,1e-05,1e-05,0.012673,1e-05,1e-05
KP0758_AC_WP10,AC,AC_WP10,WP10,WP,10,16.3884865,-10.788656,1.62579261,-0.177683065,-0.046134962,-0.222269804,1,0.993046,1e-05,1e-05,0.006914,1e-05,1e-05
KP0760_AC_WP10,AC,AC_WP10,WP10,WP,10,16.2395558,-10.076929,1.70353852,-0.29841992,0.070872634,-0.040919264,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0761_AC_WP10,AC,AC_WP10,WP10,WP,10,16.5825157,-10.320013,0.74823208,-0.071372106,-0.065757333,-0.290092544,1,0.988858,1e-05,1e-05,0.011102,1e-05,1e-05
KP0764_HU_WP10,HU,HU_WP10,WP10,WP,10,1.2390056,36.583704,0.67519059,5.576009039,-0.520986572,-2.183858108,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0765_AC_WP10,AC,AC_WP10,WP10,WP,10,-50.0986486,-8.694248,-0.082102,-0.519793326,-4.701275188,0.140348574,2,1e-05,0.999941,1e-05,1e-05,1e-05,1.9e-05
KP0767_AC_WP10,AC,AC_WP10,WP10,WP,10,10.0962526,-7.205233,1.51662089,-0.18283052,0.596690982,0.220046385,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0768_HU_WP10,HU,HU_WP10,WP10,WP,10,1.4089625,34.74309,0.32165399,-0.70218083,-0.139415779,10.90213001,7,1e-05,1e-05,0.904143,1e-05,1e-05,0.095817
KP0769_AC_WP10,AC,AC_WP10,WP10,WP,10,15.3315426,-9.137851,-14.4019454,1.504390293,-0.954519,0.009086256,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0771_AC_WP10,AC,AC_WP10,WP10,WP,10,16.3163871,-10.623005,1.44965361,-0.285595994,-0.021306517,-0.184078871,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0773_AC_WP10,AC,AC_WP10,WP10,WP,10,15.5421282,-10.242882,1.64941634,-0.191980064,0.240326475,-0.024559647,1,0.996689,1e-05,1e-05,0.003271,1e-05,1e-05
KP0774_AC_WP10,AC,AC_WP10,WP10,WP,10,1.445161,29.2219,-1.5244009,-10.86230523,0.783772629,-2.231876327,6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995
KP0775_AC_WP10,AC,AC_WP10,WP10,WP,10,1.2436132,32.1964,-1.36350116,-11.57236581,1.009353953,-2.66892969,6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995
KP0777_AC_WP10,AC,AC_WP10,WP10,WP,10,12.2258851,-8.453161,0.36996581,-0.261132907,0.011388522,0.563455753,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0779_AC_WP10,AC,AC_WP10,WP10,WP,10,16.4823762,-10.527882,0.23164435,-0.121918955,-0.024559844,-0.113374574,1,0.894389,1e-05,1e-05,0.105571,1e-05,1e-05
KP0783_HU_WP10,HU,HU_WP10,WP10,WP,10,1.474575,34.048781,-1.1240649,-11.06032291,0.985937063,-1.615066842,6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995
KP0785_AC_WP10,AC,AC_WP10,WP10,WP,10,1.3588246,36.831714,0.42430568,3.194152948,-0.234948632,1.714193959,3,1e-05,1e-05,0.914028,1e-05,1e-05,0.085932
KP0786_HU_WP10,HU,HU_WP10,WP10,WP,10,1.2995525,36.528933,0.16793306,0.977641737,-0.134583044,3.19011377,7,1e-05,1e-05,0.701722,1e-05,1.3e-05,0.298234
KP0787_AC_WP10,AC,AC_WP10,WP10,WP,10,9.8233009,-7.037396,1.22093028,-0.189859412,0.120449738,0.291324247,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0789_HU_WP10,HU,HU_WP10,WP10,WP,10,1.0756885,30.256892,0.56393379,4.412515484,-0.566146216,-2.405717385,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0792_AC_WP10,AC,AC_WP10,WP10,WP,10,16.2376814,-10.216373,0.78940123,-0.215813884,0.154728911,-0.048169146,1,0.97906,1e-05,1e-05,0.020897,1e-05,1.3e-05
KP0793_AC_WP10,AC,AC_WP10,WP10,WP,10,11.2143486,-7.724171,1.42932702,-0.136701688,0.144468438,0.07030598,1,0.914827,1e-05,1e-05,0.085133,1e-05,1e-05
KP0794_AC_WP10,AC,AC_WP10,WP10,WP,10,16.5138288,-10.865015,2.13526117,-0.068727612,0.198723123,-0.159943507,1,0.901614,1e-05,1e-05,0.098346,1e-05,1e-05
KP0795_LM_WP10,LM,LM_WP10,WP10,WP,10,-50.4910514,-9.074887,0.49805531,-0.368650547,-3.815069712,-0.012029857,2,1e-05,0.999941,1e-05,1e-05,1e-05,1.9e-05
KP0797_AC_WP10,AC,AC_WP10,WP10,WP,10,15.634934,-10.364718,1.10308272,-0.115723091,0.27270307,-0.052617371,1,0.956935,1e-05,1e-05,0.043025,1e-05,1e-05
KP0799_AC_WP10,AC,AC_WP10,WP10,WP,10,14.6358334,-9.269722,1.09479924,-0.04914026,-0.067130126,-0.121450281,1,0.925746,1e-05,1e-05,0.074214,1e-05,1e-05
KP0802_AC_WP10,AC,AC_WP10,WP10,WP,10,14.1774125,-9.646774,1.53052105,-0.185621126,0.071942115,-0.044213661,1,0.98713,1e-05,1e-05,0.01283,1e-05,1e-05
KP0803_HU_WP10,HU,HU_WP10,WP10,WP,10,1.1500205,36.954232,0.51421748,4.073819761,-0.37701708,-0.39857926,3,1e-05,1e-05,0.932643,1e-05,1e-05,0.067317
KP0805_HU_WP10,HU,HU_WP10,WP10,WP,10,1.0345126,34.64192,0.69585774,4.932613728,-0.455697277,-1.383317634,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0808_AC_WP10,AC,AC_WP10,WP10,WP,10,13.159854,-9.037116,1.26458305,-0.197598515,-0.016456965,0.116485349,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0811_AC_WP10,AC,AC_WP10,WP10,WP,10,14.8796313,-9.832168,1.73302422,-0.257496587,0.192949377,-0.141520643,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0812_AC_WP10,AC,AC_WP10,WP10,WP,10,15.958205,-10.185593,1.90151536,-0.162640459,0.087100955,-0.2154218,1,0.951472,1e-05,1e-05,0.048488,1e-05,1e-05
KP0814_HU_WP10,HU,HU_WP10,WP10,WP,10,1.0432104,36.987873,0.52625042,5.384477566,-0.446356855,-1.874034547,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0815_AC_WP10,AC,AC_WP10,WP10,WP,10,14.6623499,-9.278824,1.18635616,-0.158776799,0.283050068,-0.050562789,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0818_HU_WP10,HU,HU_WP10,WP10,WP,10,1.1997474,36.300868,-1.29387178,-11.91570245,1.001775626,-1.921406072,6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995
KP0822_AC_WP10,AC,AC_WP10,WP10,WP,10,15.8459692,-9.965229,1.83078299,-0.130969834,0.284555474,0.080192654,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0823_AC_WP10,AC,AC_WP10,WP10,WP,10,16.6490675,-10.62957,1.57043405,-0.028076209,0.060797982,-0.102973702,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0826_AC_WP10,AC,AC_WP10,WP10,WP,10,1.3432912,34.288155,0.19147926,-0.933612665,0.004201914,9.154606998,7,1e-05,1e-05,0.675902,1e-05,1e-05,0.324058
KP0827_AC_WP10,AC,AC_WP10,WP10,WP,10,1.3337895,36.934991,0.3125599,4.124731776,-0.345669007,0.031471966,3,1e-05,1e-05,0.943825,1e-05,1e-05,0.056135
KP0828_AC_WP10,AC,AC_WP10,WP10,WP,10,14.8702986,-9.651609,1.61786053,-0.305786822,0.26312432,-0.120012295,1,0.930177,1e-05,1e-05,0.069783,1e-05,1e-05
KP0829_AC_WP10,AC,AC_WP10,WP10,WP,10,1.1251663,34.557013,0.57446658,4.951600509,-0.466827246,-2.403012501,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0830_AC_WP10,AC,AC_WP10,WP10,WP,10,16.4063094,-10.40797,1.9834568,-0.148478368,0.067400609,-0.171061683,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0831_HU_WP10,HU,HU_WP10,WP10,WP,10,1.4316889,36.350264,0.67372801,5.812651427,-0.531842012,-2.46801768,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0835_AC_WP10,AC,AC_WP10,WP10,WP,10,16.6031139,-10.699334,0.94057501,0.129129814,0.079679912,-0.19198376,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0837_AC_WP10,AC,AC_WP10,WP10,WP,10,15.7559809,-10.579994,1.36964756,-0.294283147,-0.115728124,0.116821196,1,0.968788,1e-05,1e-05,0.031172,1e-05,1e-05
KP0838_AC_WP10,AC,AC_WP10,WP10,WP,10,0.9930493,32.704578,0.63787044,5.044665645,-0.326314564,-2.213101529,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0839_HU_WP10,HU,HU_WP10,WP10,WP,10,1.3046143,36.07136,0.39756237,3.4520253,-0.395342227,2.566460482,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0841_AC_WP10,AC,AC_WP10,WP10,WP,10,0.8668535,32.693272,0.56224781,5.405569664,-0.332637471,-3.84462265,3,1e-05,1e-05,0.993654,0.006306,1e-05,1e-05
KP0844_UN_NANA,UN,UN_NANA,NANA,NA,NA,16.7629698,-10.66458,0.89999294,0.089365465,-0.00450201,-0.209661543,1,0.985496,1e-05,1e-05,0.014464,1e-05,1e-05
KP0845_AC_WP10,AC,AC_WP10,WP10,WP,10,1.1775798,33.840407,0.53725692,4.404148817,-0.345306015,-2.409212894,3,1e-05,1e-05,0.999941,1e-05,1.9e-05,1e-05
KP0847_HU_WP10,HU,HU_WP10,WP10,WP,10,1.3108849,37.605213,0.7010914,4.82070495,-0.404517137,-1.274522804,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0850_AC_WP10,AC,AC_WP10,WP10,WP,10,1.490357,35.248775,0.29393173,3.676061408,-0.370070902,-0.231380861,3,1e-05,1e-05,0.991747,1e-05,1e-05,0.008213
KP0851_AC_WP10,AC,AC_WP10,WP10,WP,10,-50.8910301,-8.805217,-0.81481811,1.109531158,10.15769443,0.01465254,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0853_HU_WP10,HU,HU_WP10,WP10,WP,10,1.2588775,37.180694,0.25290074,2.542401874,-0.261386561,1.964295264,3,1e-05,1e-05,0.850143,1e-05,1e-05,0.149817
KP0857_AC_WP10,AC,AC_WP10,WP10,WP,10,16.6011607,-10.580614,1.21070748,-0.317773549,-0.001365187,-0.100707817,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0859_HU_WP10,HU,HU_WP10,WP10,WP,10,1.2596294,32.908396,0.64665399,4.468347082,-0.55667579,-3.188808099,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0861_AC_WP10,AC,AC_WP10,WP10,WP,10,12.7279694,-8.641918,2.00748593,0.106496408,0.271629578,-0.003188441,1,0.966492,1e-05,1e-05,0.033468,1e-05,1e-05
KP0866_AC_WP10,AC,AC_WP10,WP10,WP,10,10.9158424,-7.604246,1.16231445,-0.031293894,-0.388330232,0.084369889,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0870_LM_WP10,LM,LM_WP10,WP10,WP,10,-49.3894379,-8.425288,-0.49654621,0.892126058,8.735692217,-0.120800985,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0871_AC_WP10,AC,AC_WP10,WP10,WP,10,16.4614069,-10.736321,0.83809743,-0.241531208,-0.017150488,-0.046332958,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0875_AC_WP10,AC,AC_WP10,WP10,WP,10,1.2160813,38.016106,0.60382711,4.367429943,-0.439807337,-1.623986449,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0876_HU_WP10,HU,HU_WP10,WP10,WP,10,1.2266805,36.378119,0.7595999,5.522799255,-0.494924501,-2.011745141,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0877_HU_WP10,HU,HU_WP10,WP10,WP,10,1.1307765,36.726097,0.88560157,5.51834288,-0.536079418,-2.391087781,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0879_AC_WP10,AC,AC_WP10,WP10,WP,10,13.5299053,-9.491681,1.67243523,-0.177038295,0.313672766,-0.085960799,1,0.952906,1e-05,1e-05,0.047054,1e-05,1e-05
KP0880_HU_WP10,HU,HU_WP10,WP10,WP,10,15.4984585,-10.051938,1.69868796,-0.089940692,0.254389903,-0.196305411,1,0.970203,1e-05,1e-05,0.029749,1e-05,1.8e-05
KP0881_AC_WP10,AC,AC_WP10,WP10,WP,10,16.5415532,-10.689719,1.49866206,0.200858479,0.04741825,-0.262666849,1,0.983722,1e-05,1e-05,0.016238,1e-05,1e-05
KP0882_AC_WP10,AC,AC_WP10,WP10,WP,10,15.6884348,-9.854262,1.09096088,-0.162464248,0.120961006,-0.216011053,1,0.931418,1e-05,1e-05,0.068542,1e-05,1e-05
KP0883_AC_WP10,AC,AC_WP10,WP10,WP,10,16.6568039,-10.791091,1.24252593,0.042543349,0.074759229,-0.302543652,1,0.98153,1e-05,1e-05,0.01843,1e-05,1e-05
KP0884_AC_WP10,AC,AC_WP10,WP10,WP,10,16.4200318,-10.605715,1.61115334,-0.091723556,0.038503749,-0.251243563,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0886_AC_WP10,AC,AC_WP10,WP10,WP,10,1.2631222,34.875803,-1.35058859,-11.71657652,0.946235183,-2.465315842,6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995
KP0887_AC_WP10,AC,AC_WP10,WP10,WP,10,16.6469876,-10.514624,1.37908448,-0.136141351,-0.005092341,-0.273586629,1,0.919117,1e-05,1e-05,0.080843,1e-05,1e-05
KP0888_AC_WP10,AC,AC_WP10,WP10,WP,10,1.4062643,35.416713,0.08965153,-1.479226439,0.076245459,9.049931682,7,1e-05,1e-05,0.643574,1e-05,1e-05,0.356386
KP0893_LM_WP10,LM,LM_WP10,WP10,WP,10,-51.3089882,-9.085371,0.4789783,-0.453655781,-5.002990722,-0.07861116,2,1e-05,0.990711,1e-05,1e-05,0.009249,1e-05
KP0895_AC_WP10,AC,AC_WP10,WP10,WP,10,14.4888517,-9.921961,1.85161941,-0.191894033,0.325769106,-0.309852788,1,0.977228,1e-05,1e-05,0.022732,1e-05,1e-05
KP0897_AC_WP10,AC,AC_WP10,WP10,WP,10,10.3613685,-6.825243,0.84094505,0.007163071,-0.058450987,0.155984172,1,0.891741,1e-05,1e-05,0.108219,1e-05,1e-05
KP0898_AC_WP10,AC,AC_WP10,WP10,WP,10,16.5746221,-10.748997,1.7463859,-0.195499361,0.079929338,-0.009923809,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0899_LM_WP10,LM,LM_WP10,WP10,WP,10,1.3586156,36.776609,0.20157341,1.833489103,-0.194233849,2.780573659,3,1e-05,1e-05,0.80787,1e-05,1e-05,0.19209
KP0901_HU_WP10,HU,HU_WP10,WP10,WP,10,1.3422833,35.58521,0.16536444,-1.164902298,0.129723213,7.243941121,7,1e-05,1e-05,0.6266,1e-05,1.6e-05,0.373353
KP0903_HU_WP10,HU,HU_WP10,WP10,WP,10,1.1673747,36.554142,0.20770148,0.062930706,-0.011208579,8.906132112,7,1e-05,1e-05,0.56287,1e-05,1e-05,0.43709
KP0906_AC_WP10,AC,AC_WP10,WP10,WP,10,1.1467115,34.604359,-1.16907488,-11.48598193,0.935254053,-1.948170433,6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995
KP0909_AC_WP10,AC,AC_WP10,WP10,WP,10,12.8267227,-8.708802,0.74415128,0.037428142,-0.378222383,0.166059452,1,0.973332,1e-05,1e-05,0.026628,1e-05,1e-05
KP0912_AC_WP10,AC,AC_WP10,WP10,WP,10,16.6369956,-10.67905,1.60037158,-0.118239685,0.101001649,-0.168369857,1,0.894444,1e-05,1e-05,0.105516,1e-05,1e-05
KP0913_AC_WP10,AC,AC_WP10,WP10,WP,10,16.0962532,-10.334842,1.14542319,-0.207260449,0.115839018,-0.200312288,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0915_AC_WP10,AC,AC_WP10,WP10,WP,10,16.4850212,-10.638716,1.5063896,-0.112688243,0.125264193,-0.140417176,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0916_AC_WP10,AC,AC_WP10,WP10,WP,10,16.2735239,-10.616081,1.3459941,-0.102663284,0.186708074,-0.054007191,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0917_AC_WP10,AC,AC_WP10,WP10,WP,10,16.3617888,-10.431657,1.78365869,-0.1829739,0.066235029,-0.108086984,1,0.977354,1e-05,1e-05,0.022606,1e-05,1e-05
KP0918_AC_WP10,AC,AC_WP10,WP10,WP,10,11.3848513,-8.395863,1.5145624,-0.119668257,0.455583573,0.127090663,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0919_AC_WP10,AC,AC_WP10,WP10,WP,10,15.3476512,-10.152612,2.09854048,-0.100770955,0.036331451,-0.095684774,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0920_HU_WP10,HU,HU_WP10,WP10,WP,10,1.3424023,36.567327,0.55779632,5.062830017,-0.490564981,-2.94681052,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0922_AC_WP10,AC,AC_WP10,WP10,WP,10,1.2520701,34.598591,0.85281007,4.649021958,-0.39793238,-2.328386127,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0926_AC_WP10,AC,AC_WP10,WP10,WP,10,16.477511,-10.554745,1.36778309,-0.156471969,0.168322072,-0.080161306,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0928_AC_WP10,AC,AC_WP10,WP10,WP,10,13.66132,-9.656743,1.59815275,-0.07922598,0.020539902,-0.008329346,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0930_AC_WP10,AC,AC_WP10,WP10,WP,10,11.2438803,-7.163722,0.63485726,-0.148295244,-0.016178657,0.158739699,1,0.999941,1e-05,1e-05,1e-05,1e-05,1.9e-05
KP0931_AC_WP10,AC,AC_WP10,WP10,WP,10,16.4336924,-10.021962,1.55690389,-0.176062236,-0.0402662,-0.022863756,1,0.996174,1e-05,1e-05,1e-05,1e-05,0.003786
KP0933_AC_WP10,AC,AC_WP10,WP10,WP,10,16.5076821,-10.68546,1.14507798,-0.009623257,0.040866864,-0.086948297,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
