Individual,Species,Population,Site,Loc,Depth,V1,V2,V3,V4,V5,V6,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,Q.Clust5,Q.Clust6
KP0452_AC_WP20,AC,AC_WP20,WP20,WP,20,15.1953138,-9.207007,-14.72749742,1.465584332,-0.977603687,0.098289225,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0454_AC_WP20,AC,AC_WP20,WP20,WP,20,16.6387311,-10.564943,1.89527579,-0.17071174,0.098786566,-0.178643086,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0457_AC_WP20,AC,AC_WP20,WP20,WP,20,16.4059525,-10.383207,1.54447649,-0.036804065,0.117576292,-0.176369785,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0459_LM_WP20,LM,LM_WP20,WP20,WP,20,-50.0332043,-8.728772,0.18855683,-0.395994608,-4.317144515,-0.032250075,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0462_AC_WP20,AC,AC_WP20,WP20,WP,20,15.3743207,-9.582866,1.22728399,-0.028955956,0.08584932,-0.149614959,1,0.967411,1e-05,1e-05,0.032549,1e-05,1e-05
KP0463_AC_WP20,AC,AC_WP20,WP20,WP,20,10.04322,-6.352823,-10.75782235,0.98731577,-0.757309496,0.134083319,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0464_AC_WP20,AC,AC_WP20,WP20,WP,20,15.7129844,-10.482229,1.66537273,-0.261907806,0.124281242,0.047330821,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0468_AC_WP20,AC,AC_WP20,WP20,WP,20,16.1272295,-10.508283,1.94367449,-0.217547999,-0.064789401,-0.104474474,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0470_AC_WP20,AC,AC_WP20,WP20,WP,20,11.5481438,-8.124814,0.90082169,-0.244634143,0.2361521,0.294198784,1,0.976372,1e-05,1e-05,0.023587,1e-05,1e-05
KP0471_AC_WP20,AC,AC_WP20,WP20,WP,20,16.788117,-10.961448,1.88736927,-0.097215256,0.054823597,-0.142705689,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0473_LM_WP20,LM,LM_WP20,WP20,WP,20,-50.2834208,-8.930689,-0.67303008,1.132573753,10.46669724,-0.006011864,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
