plot_name	sample_name	colony_points	colony_threeD_area	rot_colony_twoD_area	colony_rugosity	env_points	env_threeD_area	env_twoD_area	env_rugosity
cur_kal_05m_20200214	KP0950_AC_WP05	10676	0.05613015926585454	0.03371193292114486	1.664993798995384	278058	1.5043195967155423	0.7962358937244607	1.8892888509194934
cur_kal_05m_20200214	KP0952_HU_WP05	57	0.0002724164296159928	0.00021518559964736714	1.265960315478415	176639	0.9956159854881255	0.47201533697438913	2.109287363139529
cur_kal_05m_20200214	KP0954_HU_WP05	15	6.036144138564581e-05	3.409054663953336e-05	1.7706211057245764	168237	0.9476637176020537	0.43433334497651716	2.1818811025280374
cur_kal_05m_20200214	KP0955_HU_WP05	39	7.068636556793105e-05	6.89463121661316e-05	1.0252378023875541	170660	0.9654986761188397	0.45133514136580233	2.1392056315338257
cur_kal_05m_20200214	KP0956_HU_WP05	84	0.0004508111337181938	0.00028722092939391326	1.569562269259015	177068	1.017979102992275	0.4617687037755987	2.2045216461593995
cur_kal_05m_20200214	KP0958_HU_WP05	45	0.0002506613533604596	0.00019823451633701472	1.2644687615062709	186026	1.0944804427934456	0.4990441406933416	2.193153578104015
cur_kal_05m_20200214	KP0962_AC_WP05	5204	0.011316595344651395	0.009050629210983489	1.2503655912583425	270995	1.5781750834671702	0.603650800689189	2.6143841467042956
cur_kal_05m_20200214	KP0963_HU_WP05	194	0.0011677630427246516	0.0008172145737440701	1.428955234332818	167559	0.9731402425804083	0.4975341147496601	1.9559266665966308
cur_kal_05m_20200214	KP0965_AC_WP05	75	0.0002613961796078706	0.0001575263344516081	1.65938082999177	190302	1.0452028724062228	0.48931208933256737	2.1360659080218167
cur_kal_05m_20200214	KP0966_AC_WP05	1806	0.007306696558139831	0.004866676365266309	1.5013730130665883	231839	1.2338018269817301	0.5892113274186839	2.093988641370791
cur_kal_05m_20200214	KP0969_HU_WP05	12	3.769416694142031e-05	2.1974525519610606e-05	1.7153574900983009	136066	0.7934937329393187	0.48290463120262006	1.6431686127408038
cur_kal_05m_20200214	KP0970_HU_WP05	104	0.0005563019495565109	0.0004855868976624251	1.1456280065102709	179000	1.0374984384106978	0.5080777244389512	2.042007331764768
cur_kal_05m_20200214	KP0971_HU_WP05	160	0.0007075182383043741	0.0005525054953938189	1.2805632599184633	167936	1.012190927140537	0.48471598517204256	2.088214455690532
cur_kal_05m_20200214	KP0972_HU_WP05	151	0.0009040985132627385	0.0006748855412088581	1.3396323643907277	145422	0.8832666425025365	0.5217919070383156	1.6927565004140195
cur_kal_05m_20200214	KP0973_HU_WP05	223	0.0013494031317644304	0.0008348462835662628	1.6163492110189488	182585	1.0734599943478218	0.5255348372862831	2.0426048250024165
cur_kal_05m_20200214	KP0974_AC_WP05	3842	0.02174015036746331	0.008145118922699509	2.669101651404501	195332	1.151906959170936	0.6238082817608384	1.8465720844863123
cur_kal_05m_20200214	KP0975_AC_WP05	503	0.0026950301701804623	0.001343021397829111	2.0066919071704796	190411	1.0983295627224805	0.5116422172489143	2.1466750117458395
cur_kal_05m_20200214	KP0976_AC_WP05	43	0.00020343143954616087	0.00015966070632286784	1.2741484378428047	149902	0.868964847350965	0.40012305219329614	2.171744023713923
cur_kal_05m_20200214	KP0977_AC_WP05	139	0.000656788487337714	0.00036517448658724474	1.7985607194953885	154704	0.9044697455666634	0.42755553819930453	2.115443877480651
cur_kal_05m_20200214	KP0978_AC_WP05	5474	0.020427723749035207	0.006938957538414516	2.943918252265706	200942	1.1732404983159832	0.721411616755043	1.62631217888242
cur_kal_05m_20200214	KP0979_HU_WP05	100	0.0005379489998701098	0.0004475445844099177	1.202000914790175	150586	0.8573119245566528	0.48244156861754917	1.7770274792309169
cur_kal_05m_20200214	KP0980_HU_WP05	57	0.0002807770207133397	0.00019803395804024012	1.417822597154203	119915	0.7100992970333972	0.4067741107324149	1.7456845907789753
cur_kal_05m_20200214	KP0981_AC_WP05	3954	0.007646257717481328	0.00654589852966726	1.1680990291595614	196063	1.1676571134500997	0.6898170883589645	1.692705404309263
cur_kal_05m_20200214	KP0982_AC_WP05	11621	0.042294601484327135	0.026641124873902407	1.5875681557935581	246406	1.444601687435683	0.7937658904051262	1.8199341958349708
cur_kal_05m_20200214	KP0983_AC_WP05	1319	0.003538695713669118	0.003505795244863074	1.0093845950798899	179411	1.0226971027197491	0.5755481587617501	1.7769096940905993
cur_kal_05m_20200214	KP0984_HU_WP05	171	0.00029568360536657114	0.0003491076540057827	1	165371	0.9633376648500604	0.46513014858540835	2.071114219922835
cur_kal_05m_20200214	KP0986_HU_WP05	106	0.0005741081234832165	0.0004192278491374147	1.369441759807887	129710	0.7697451552231294	0.5103394534163666	1.5083003088830829
cur_kal_05m_20200214	KP0987_HU_WP05	52	0.00020537100664304558	0.00015335022280045947	1.3392286159914875	159380	0.8585993121241513	0.4979105761358352	1.724404648697232
cur_kal_05m_20200214	KP0988_AC_WP05	61	0.00011855061933885861	8.691462545804435e-05	1.3639893023077647	134333	0.798269960186198	0.4721730809145871	1.6906299669603562
cur_sna_05m_20200303	KP0130_AC_SB05	469	0.0022648682431012893	0.0018597000003438614	1.2178675284629303	151243	0.8358597058054007	0.4733326641166156	1.7659032836142252
cur_sna_05m_20200303	KP0132_HU_SB05	405	0.0022041040608686575	0.0011577660419742335	1.903756010247285	107282	0.605393443155835	0.3938101241346406	1.537272421541036
cur_sna_05m_20200303	KP0133_HU_SB05	438	0.002111016418774165	0.001603780724718302	1.3162749659215145	138224	0.8048174694366574	0.51761891842918	1.5548455452112144
