	x	y	z
KP0720_AC_SB20	21.41876898	3.357998279	1.79772898
KP0721_AC_SB20	20.86587245	2.871772899	1.618843725
KP0722_AC_SB20	20.65494215	3.029095271	1.605443177
KP0723_AC_SB20	20.33088677	2.794424687	1.178272857
KP0724_AC_SB20	20.50675541	3.476422013	1.53883538
KP0725_LM_SB20	20.28475881	2.24778212	0.549109248
KP0726_AC_SB20	20.42829707	3.046603531	1.197209802
KP0727_AC_SB20	19.91667084	2.239218808	0.717652583
KP0728_AC_SB20	20.08987453	3.518114416	1.56163275
KP0729_LM_SB20	17.88668963	2.326825833	0.232296739
KP0730_AC_SB20	20.17465751	3.105206162	1.169508213
KP0731_LM_SB20	17.59729419	2.308220562	-0.058243186
KP0732_LM_SB20	19.8342833	3.31560875	1.264846966
KP0733_LM_SB20	17.69363034	1.944482361	-0.081135792
KP0734_AC_SB20	19.40985576	3.293447238	1.653148229
KP0736_AC_SB20	18.80109081	3.48660731	1.780779152
KP0217_AC_SQ20	-14.8773574	-0.207268577	-0.971889664
KP0218_AC_SQ20	-17.04874089	-0.282095313	-0.910104816
KP0219_AC_SQ20	-17.46165696	-0.336680314	-1.03460067
KP0220_AC_SQ20	-17.50873247	-0.130722132	-0.993719291
KP0221_AC_SQ20	-17.53845433	-0.107831621	-1.021289004
KP0222_AC_SQ20	-17.74597442	-0.580567987	-0.484160759
KP0224_AC_SQ20	-19.17544016	-1.208522827	-0.873858936
KP0225_AC_SQ20	-19.20454355	-1.489735619	-0.701097302
KP0226_AC_SQ20	-19.03643942	-1.366942093	-0.705880321
KP0227_AC_SQ20	-18.79583237	-1.32579192	-0.434998701
KP0228_AC_SQ20	-18.57820213	-1.085548424	-0.373556528
KP0229_AC_SQ20	-18.53016388	-1.000646484	-0.523145412
KP0230_AC_SQ20	-18.2811323	-1.080068838	-0.43244918
KP0231_AC_SQ20	-17.74857	-0.642289438	-0.415972756
KP0232_AC_SQ20	-17.73942545	-0.810825828	-0.427980895
KP0233_AC_SQ20	-17.67183929	-0.743387148	-0.539384876
KP0234_LM_SQ20	-16.54562	-1.60372211	-0.644298475
KP0235_AC_SQ20	-15.62227645	-1.374416391	-0.416014761
KP0236_AC_SQ20	-15.49870245	-0.88640307	-0.838365193
KP0237_AC_SQ20	-8.831351571	-0.886538597	-0.96890962
KP0238_AC_SQ20	-8.841528269	-1.014669342	-0.934790812
KP0239_AC_SQ20	-8.840881558	-1.094016526	-0.887816404
KP0240_AC_SQ20	-8.933066827	-0.908744153	-0.980793883
KP0241_AC_SQ20	-10.43047897	-0.29721512	-1.273454155
KP0242_AC_SQ20	-11.14498429	-0.195604119	-1.297084575
KP0243_AC_SQ20	-10.80458715	-1.552516486	-1.319105038
KP0223_AC_SQ20	-17.80686602	-0.624553376	-0.607954697
KP0212_AC_SQ20_X	-14.6348953	-0.399481919	-0.970369482
KP0213_AC_SQ20	-14.56890793	-0.229399341	-0.88170583
KP0215_AC_SQ20	-14.6617793	-0.390541298	-0.913691995
KP0214_AC_SQ20	-14.74237723	-0.125299012	-0.887618691
KP0216_AC_SQ20	-14.75857305	-0.32769882	-0.84075347
KP0248_AC_SQ20	-1.026884395	0.342671686	-1.592701833
KP0250_AC_SQ20	-1.349104436	0.256489071	-1.457009786
KP0251_AC_SQ20	-1.419872915	0.290949098	-1.538565838
KP0252_LM_SQ20	-0.177033687	-1.69551427	-1.505614635
KP0253_LM_SQ20	6.271252383	-0.773483834	-1.628257637
KP0254_LM_SQ20	6.198893355	-0.618497939	-1.626422
KP0255_AC_SQ20	5.760661351	-0.355019336	-1.903207428
KP0256_AC_SQ20	5.664683626	-0.242288021	-1.879549729
KP0257_AC_SQ20	4.983977583	-0.657112247	-2.052263401
KP0259_AC_SQ20	5.04291303	-0.346443964	-2.114385492
KP0260_AC_SQ20	4.850311178	-0.772845557	-1.928402683
KP0261_AC_SQ20	4.805397678	-0.753314804	-1.928796235
KP0262_AC_SQ20	4.715065964	-0.763299653	-1.965987779
KP0263_AC_SQ20	4.81720677	-0.714647906	-1.980335953
KP0265_AC_SQ20	2.794227381	-0.91986559	-1.448862124
KP0266_AC_SQ20	2.686388446	-0.828656558	-1.276215014
KP0267_AC_SQ20	2.685890173	-0.757686865	-1.324772038
KP0268_AC_SQ20_X	2.625574094	-0.805468585	-1.267609531
KP0271_AC_SQ20_X	2.512262912	-0.864280712	-1.270144114
KP0270_AC_SQ20	2.519526668	-0.819154725	-1.277438965
KP0272_AC_SQ20	2.370171563	-0.151214878	-1.546484765
KP0273_AC_SQ20	2.310312668	-0.196112655	-1.471917191
KP0274_AC_SQ20	2.093726392	-0.027838281	-1.510169632
KP0275_AC_SQ20	2.026901441	-0.109374677	-1.454787047
KP0276_AC_SQ20	1.995904585	-0.218518264	-1.450288373
KP0277_AC_SQ20	1.940765434	-0.061768845	-1.505111413
KP0278_AC_SQ20	1.653031421	-1.397887438	-1.18494869
KP0280_AC_SQ20	1.833831865	-1.426744757	-1.064716151
KP0279_AC_SQ20	1.716738995	-1.259145555	-1.102518254
KP0281_AC_SQ20	1.885601941	-1.413724837	-1.116675748
KP0282_LM_SQ20	4.253498022	-1.813172435	-1.804976025
KP0285_LM_SQ20	6.175270068	-1.257585102	-1.929204421
KP0286_AC_SQ20	6.620531948	-1.570114168	-1.371986657
KP0283_AC_SQ20_X	4.914018573	-2.11628351	-1.683443196
KP0284_AC_SQ20_X	4.925498322	-2.157358691	-1.647661111
KP0264_AC_SQ20_X	2.765433049	-0.946213547	-1.524094219
KP0269_AC_SQ20	2.584054181	-0.837930021	-1.256282182
KP0249_LM_SQ20	-1.111335892	0.438265174	-1.74634233
KP0258_AC_SQ20	4.925401772	-0.656085404	-2.080156966
KP0950_AC_WP05	-11.04988394	-1.800558349	-1.332982985
KP0952_HU_WP05	-11.56326535	-1.385143396	-1.260927723
KP0954_HU_WP05	-11.62684761	-1.328967833	-1.188994787
KP0955_HU_WP05	-11.6483943	-1.352066775	-1.169475656
KP0956_HU_WP05	-11.71527854	-1.358114755	-1.134123148
KP0957_HU_WP05	-11.64481254	-1.279552077	-1.198698467
KP0958_HU_WP05	-11.79851075	-1.412195322	-1.150198141
KP0959_HU_WP05	-12.00706578	-1.538993806	-1.249686647
KP0960_HU_WP05	-12.01718883	-1.740093297	-1.228716771
KP0961_HU_WP05	-12.34346728	-1.330550947	-1.39761742
KP0962_AC_WP05	-12.34364893	-1.270234475	-1.351996486
KP0963_HU_WP05	-12.69681608	-1.725895634	-1.479903508
KP0964_HU_WP05	-11.43579418	-2.028059187	-1.261945384
KP0965_AC_WP05	-11.21830837	-2.086021316	-1.257438202
KP0966_AC_WP05	-11.24655308	-2.258986307	-1.349838795
KP0967_AC_WP05_X	-9.303670561	-1.973749513	-1.455226571
KP0968_HU_WP05	-8.768969028	-1.697023534	-1.503408506
KP0969_HU_WP05	-6.989756746	-0.223819126	-1.614766562
KP0970_HU_WP05	-8.043335841	-0.807345563	-1.570575733
KP0971_HU_WP05	-8.041642343	-0.653322529	-1.527181046
KP0972_HU_WP05	-8.285336456	-0.622178741	-1.558127848
KP0973_HU_WP05	-5.999743043	-0.657808536	-1.651269257
KP0974_AC_WP05	-3.317693929	0.112872709	-1.240038837
KP0975_AC_WP05	-3.450154849	0.448617613	-1.461499551
KP0976_AC_WP05	-3.667393707	0.449179591	-1.488634419
KP0977_AC_WP05	-3.568096778	0.37666498	-1.434769569
KP0978_AC_WP05	-0.551040064	-0.923926091	-1.51960569
KP0979_HU_WP05	5.774303686	1.685642805	-1.078281202
KP0980_HU_WP05	3.191537927	0.912561332	-1.10696959
KP0981_AC_WP05	3.183930619	0.719610327	-1.193370341
KP0982_AC_WP05	3.792974435	0.458364249	-1.212688331
KP0983_AC_WP05	6.683656233	1.056974737	-0.935530063
KP0984_HU_WP05	6.981333179	1.095622237	-0.970390069
KP0985_HU_WP05	7.010825401	1.098382439	-1.071782355
KP0986_HU_WP05	8.845232398	0.570053674	-1.034266906
KP0987_HU_WP05	9.965398025	0.359060496	-0.957071303
KP0988_AC_WP05	-3.374355116	-0.3016838	-1.263152751
KP0989_AC_WP05	-0.923081478	-0.864919164	-1.451401258
KP0739_HU_WP10	0.884877884	-1.628374425	-0.918785836
KP0740_HU_WP10	1.187100862	-0.730498416	-1.157970967
KP0741_AC_WP10	0.521539248	-1.937410302	-1.181768413
KP0742_AC_WP10	-0.056629319	-0.865312434	-1.484090359
KP0743_AC_WP10	0.337567636	-1.627061484	-1.069897039
KP0744_HU_WP10	0.02767314	-0.098175429	-1.604168545
KP0745_AC_WP10_X	0.276795054	-1.766893984	-1.425606043
