plot_name	sample_name	colony_points	ground_elevation	overhang_prop	outcrop_prop	environment_rugosity	colony_radius	environment_radius
WP10	KP0845_AC_WP10	226	124.2604738	0.046133667	0.489526975	1.568781971	0.029421457	0.1
WP10	KP0851_AC_WP10	2639	98.32693668	0.023383169	0.523106376	2.57990873	0.072714088	0.1
WP10	KP0857_AC_WP10	35163	20.61097789	0.001163876	0.566794624	2.898150887	0.18667931	0.1
WP10	KP0859_HU_WP10	347	112.028639	0.197625688	0.449366164	3.919067824	0.030187473	0.1
WP10	KP0861_AC_WP10	1601	108.9293967	0.005249967	0.462283645	3.050831874	0.061415036	0.1
WP10	KP0879_AC_WP10	2751	88.10052937	0	0.643433389	2.60317622	0.073647837	0.1
WP10	KP0881_AC_WP10	5596	16.68775917	0	0.72331956	2.508009216	0.092989537	0.1
WP10	KP0883_AC_WP10	8538	84.32856342	0.034904597	0.546405596	2.994536692	0.132002789	0.1
WP10	KP0885_AC_WP10	5450	71.83725228	0.010800602	0.569253104	2.312354379	0.097746786	0.1
WP10	KP0887_AC_WP10	7955	61.36823729	0.310628466	0.352058871	2.338944502	0.100533022	0.1
WP10	KP0893_LM_WP10	3483	96.83595169	0.006211346	0.505125313	1.367900999	0.1180499	0.1
WP10	KP0895_AC_WP10	32261	47.52845408	0.225451658	0.467948849	1.748256993	0.281533196	0.1
WP10	KP0903_HU_WP10	274	33.69065301	0	0.681136467	1.640687392	0.023439329	0.1
WP05	KP0950_AC_WP05	10675	22.39711282	0.00116582	0.610432309	1.74229604	0.112416371	0.1
WP05	KP0954_HU_WP05	14	44.46696939	0.002043177	0.478710703	1.680224176	0.005557964	0.1
WP05	KP0956_HU_WP05	83	2.233749494	0	0.954145596	1.258837648	0.012239997	0.1
WP05	KP0958_HU_WP05	44	35.81469868	8.28E-05	0.35677761	1	0.010768505	0.1
WP05	KP0962_AC_WP05	5203	58.2929597	1.058404687	0.386535488	2.014991446	0.111212873	0.1
WP05	KP0963_HU_WP05	193	131.3709306	0	0.551922008	1.832139601	0.020197963	0.1
WP05	KP0965_AC_WP05	74	86.70165655	0.052717121	0.544838929	2.780519051	0.012757732	0.1
WP05	KP0966_AC_WP05	1805	23.59963485	0.002436617	0.391779336	2.17884487	0.053565578	0.1
WP05	KP0970_HU_WP05	103	37.87809926	0.153518045	0.480330508	1.89736786	0.015010789	0.1
WP05	KP0971_HU_WP05	159	14.43291193	0	0.468861122	1.475309148	0.018233408	0.1
WP05	KP0972_HU_WP05	150	44.58298428	0.005095955	0.553268043	1.480729667	0.018869295	0.1
WP05	KP0973_HU_WP05	222	61.03419041	0.00124061	0.52188566	1.748395791	0.022754524	0.1
WP05	KP0974_AC_WP05	3841	6.931857905	0	0.739975795	1.601362175	0.087274938	0.1
WP05	KP0977_AC_WP05	138	37.53485171	0	0.749737288	1.627984503	0.016717264	0.1
WP05	KP0978_AC_WP05	5473	40.03345541	0	0.475108662	1.582029244	0.085486622	0.1
WP05	KP0979_HU_WP05	99	37.96170334	0	0.490019406	1.998965002	0.014101384	0.1
WP05	KP0980_HU_WP05	56	22.3705616	0	0.76028303	1.514679501	0.010425249	0.1
WP05	KP0981_AC_WP05	3953	76.65467074	0.363457092	0.581436906	1.88485012	0.094319953	0.1
WP05	KP0982_AC_WP05	11620	90.5222464	0	0.629103821	2.230846479	0.118924748	0.1
WP05	KP0983_AC_WP05	1318	37.05926628	0.757004219	0.470282381	1.385575077	0.064631147	0.1
WP05	KP0984_HU_WP05	170	58.80834091	0.20816741	0.544149248	1.381610521	0.019629966	0.1
WP05	KP0986_HU_WP05	105	116.7269603	0.056608626	0.592635922	1.779741914	0.015568365	0.1
WP05	KP0987_HU_WP05	51	114.2298871	0.156400822	0.686263101	1.373824896	0.009737762	0.1
