,xy,xz,yz,outcrop_prop,overhang_prop,range
KP0051_AC_SB10,0.4184408013414438,8.930103457728595,27.996614915250884,0.5243430822969856,1.0,0.01856109142821429
KP0052_AC_SB10,2.8470998061871304,,40.7782805414795,0.509369197155182,0.625,0.01581757876376842
KP0053_AC_SB10,27.416207051900916,26.55945237971152,25.84381497416779,0.6182806121991605,0.0,0.007624066776940977
KP0054_AC_SB10,4.244093413913415,22.691939925853298,,0.6661913454771264,0.0,0.006419886859976875
KP0056_AC_SB10,35.962458427994704,32.1935133063563,27.62952787163924,0.45861211671319435,1.0,0.004043415109422898
KP0057_AC_SB10,9.613086168449025,2.29902946804359,14.230243160446317,0.5456699434374781,1.0,0.0127326096161902
KP0058_AC_SB10,5.895862155071029,8.779105839144247,2.258154030423993,0.5116200006282923,1.0,0.013627918749557367
KP0059_AC_SB10,18.473071625407286,0.3192823604536513,4.746332992423962,0.6952625827826131,0.0,0.004745153047563377
KP0061_AC_SB10,1.0784834247943265,14.662327081262482,3.7222989632338632,0.6924172024358314,0.0,0.022205678692476406
KP0062_AC_SB10,24.300996797784514,1.8324223349948436,15.824865234088922,0.5435866454375932,1.0,0.014025675562371049
KP0064_AC_SB10,19.228534618083497,9.89334924715329,7.500664746329634,0.6006552054438358,0.3333333333333333,0.012156354582681118
KP0065_AC_SB10,44.17429352573769,49.90403202578178,23.984223166587245,0.6243507585058723,1.0,0.007540520761684532
KP0066_AC_SB10,5.291490027232445,16.166479106057068,6.607802612039882,0.49293667463778496,1.0,0.016912001809242645
KP0067_LM_SB10,17.22085004044463,0.4057167725584211,58.47832144661544,0.5427551905000718,1.0,0.011594801840757216
KP0068_AC_SB10,29.74933083319633,3.7181329287375298,6.549090409597092,0.5798938346005085,0.0,0.007669379499993034
KP0069_AC_SB10,28.7477113784147,42.557615803534496,0.2634512335335757,0.6011561645791211,1.0,0.04106244648575762
KP0070_AC_SB10,34.58346012459498,25.406732410357545,24.544861590729447,0.3845823203867676,1.0,0.016730489079962076
KP0071_AC_SB10,40.274198789512866,24.850204696649467,5.57072837187773,0.4432037976176629,1.0,0.013496636339900064
KP0072_AC_SB10,5.748420857487324,12.172284857331258,14.095829787324726,0.4531641379703518,0.0,0.007401188571659354
KP0073_HU_SB10,13.951735856405271,34.50979181269958,12.659346441528283,0.687959538327861,0.0,0.0038972995433372228
KP0074_AC_SB10,23.835042341917053,2.3906346530381533,27.157288685846755,0.6549698618896068,0.0,0.008966550290362453
KP0076_AC_SB10,22.95437174329889,19.90086174757559,3.0348215065491106,0.5542246476392803,1.0,0.010427367376701135
KP0077_AC_SB10,21.489071265340687,25.25452339147529,30.196790441209334,0.47916991580600454,0.0,0.007938035896513759
KP0078_AC_SB10,22.0965954611279,26.026739054540894,30.0613310070964,0.4995694714730135,1.0,0.005690558695115305
KP0079_LM_SB10,5.901882396055709,37.4391044493648,28.212634756149477,0.5187521767173394,1.0,0.008021345623000388
KP0082_AC_SB10,4.775967940480042,24.518989162932755,8.180718793161574,0.5820333772650931,0.1111111111111111,0.01811795309245308
KP0083_AC_SB10,16.050650120236774,14.444589134195294,20.549995034338533,0.4987853048960192,0.7777777777777778,0.018900951371307477
KP0084_AC_SB10,3.019761452952118,,12.708147559299611,0.2762894634116914,1.0,0.005862821098552033
KP0085_AC_SB10,20.054497552970933,20.174512890683424,20.012972632500706,0.33295020189075114,1.0,0.01107870807739812
KP0086_LM_SB10,33.88635249844169,35.6325938460984,2.925425361217733,0.5023613381968927,1.0,0.018358357931163496
KP0087_AC_SB10,15.459485120399874,11.430049889031809,9.572759212547963,0.5106719143041165,1.0,0.010072356705472102
