,x,y,z
KP0130_AC_SB05,-11.755212915189583,-12.311380997953522,-6.579217286007768
KP0132_HU_SB05,-10.255214310694155,-23.890836476096812,-6.946439784026987
KP0133_HU_SB05,-9.783537948719516,-24.0666100607796,-7.6241122038278215
KP0134_HU_SB05,-9.737966447476527,-23.828068380913976,-8.188148661501856
KP0135_HU_SB05,9.67334624896163,23.25549588031109,-2.21802341593117
KP0137_HU_SB05,18.210177701844923,32.00421374932146,-1.6193388281440821
KP0138_HU_SB05,18.293344569520517,31.669021011595028,-1.7126661082107946
KP0139_HU_SB05,18.83992064865128,28.950642502580425,-2.0285115050943983
KP0140_HU_SB05,18.95750495038279,29.237351166441652,-2.0662017861661894
