plot_name	sample_name	colony_points	colony_elevation	colony_rugosity	overhang_prop	outcrop_prop	environment_rugosity	colony_range	environment_range
cur_sna_05m_20200303	KP0130_AC_SB05	469	120.57852843796712	1.2379982194999157	1.4623384244948572	0.3941827213825961	1.7189025269685345	0.027113178956003958	0.427113178956004
cur_sna_05m_20200303	KP0132_HU_SB05	405	18.301694331412975	1.8818531564681176	0.008244366631165668	0.6869406901609763	1.5895225987673625	0.02924119554203976	0.42924119554203977
cur_sna_05m_20200303	KP0133_HU_SB05	438	42.439088628211294	1.352650142866118	0.20545206920208317	0.4417404917319151	1.5991920162923312	0.029691595335722694	0.4296915953357227
cur_sna_05m_20200303	KP0134_HU_SB05	109	60.86405588478885	1.6563233921516543	0.17179299107813792	0.25677899651691927	1.3199802888013732	0.02111268939111204	0.42111268939111207
cur_sna_05m_20200303	KP0135_HU_SB05	681	56.83762716789768	1.0850575820948212	0.0017074849943218716	0.5249396780811434	1.4497819733053636	0.03428723284415589	0.43428723284415593
cur_sna_05m_20200303	KP0137_HU_SB05	250	88.68762610082993	1.75233634178385	0.13176931023911886	0.34630906186115296	1.4205216453988148	0.022478684340776146	0.4224786843407762
cur_sna_05m_20200303	KP0138_HU_SB05	45	92.87357388328108	1.0746297569849965	0.0	0.2969539379684702	1.4751141074000078	0.009273946186013413	0.4092739461860134
cur_sna_05m_20200303	KP0139_HU_SB05	107	94.60943344355962	1	0.05063617627990128	0.23212487042620747	1.254999468425169	0.013775104479925039	0.41377510447992505
cur_sna_05m_20200303	KP0140_HU_SB05	199	75.19274891488396	1	0.07883888448675311	0.1882109652968048	1.2686410422196883	0.01687970330190581	0.4168797033019058
cur_kal_05m_20200214	KP0950_AC_WP05	10676	16.565065447235657	1.6684612241772614	0.0011673824844465192	0.5229505410108581	1.8916623944748538	0.11241637105572562	0.5124163710557257
cur_kal_05m_20200214	KP0952_HU_WP05	57	54.14393598753529	1.3030031286027592	0.035408461787136226	0.5202018891744672	2.115950501390177	0.011443546667317296	0.4114435466673173
cur_kal_05m_20200214	KP0954_HU_WP05	15	113.9472070841743	1.867101136927161	0.0021298957434580956	0.5772148921560021	2.146442444544327	0.0055579635361012875	0.4055579635361013
cur_kal_05m_20200214	KP0955_HU_WP05	39	115.53845835333027	1.0939039136155668	0.34403966312315526	0.5923494216979222	2.089889457344379	0.007709633491418224	0.40770963349141826
cur_kal_05m_20200214	KP0956_HU_WP05	84	14.081922940160275	1.5530672187126053	0.0	0.6271676209581313	2.165479452110029	0.012239997024622355	0.4122399970246224
cur_kal_05m_20200214	KP0957_HU_WP05	5	66.36851160036767	6.262651309097169	0.0	0.5733154770360889	2.1515581321621204	0.004328259809015231	0.40432825980901527
cur_kal_05m_20200214	KP0958_HU_WP05	45	39.18809497412959	1.2885142485036745	1.80949340588409	0.5911377820383718	2.1919565856754453	0.01076850462846294	0.410768504628463
cur_kal_05m_20200214	KP0962_AC_WP05	5204	43.67324956804114	1.256139583185733	1.0285007383491371	0.5150756949369619	2.4462750266804165	0.11121287344662391	0.5112128734466239
cur_kal_05m_20200214	KP0963_HU_WP05	194	129.80924158929813	1.3217984422262812	0.3633263576892993	0.4481628237331578	1.9559562654364717	0.020197963004011398	0.4201979630040114
cur_kal_05m_20200214	KP0965_AC_WP05	75	73.38105931747715	1.727388527413004	0.0	0.47264602691286384	2.1138411806476003	0.012757732275938932	0.4127577322759389
cur_kal_05m_20200214	KP0966_AC_WP05	1806	63.80423801424999	1.4908683560750038	0.002463540269801487	0.40645944725912747	2.026040826610491	0.05356557817802388	0.4535655781780239
cur_kal_05m_20200214	KP0968_HU_WP05	8	61.578905842625964	2.8355492369227173	2.5052500712040886	0.4303903587834229	1.8850357833897964	0.00482573969071242	0.40482573969071245
cur_kal_05m_20200214	KP0969_HU_WP05	12	57.36872090730715	1.3418360812291796	0.03988433148711769	0.6507352730471151	1.6420787959582657	0.005757281334906544	0.40575728133490657
cur_kal_05m_20200214	KP0970_HU_WP05	104	31.384324208924088	1.1277941352100107	0.14949953665078256	0.40020289267599596	2.0297681099822293	0.015010788686610753	0.4150107886866108
cur_kal_05m_20200214	KP0971_HU_WP05	160	31.95160540023878	1.2585228416833263	0.0	0.41752812005531764	2.0466662718055826	0.018233408323355113	0.41823340832335515
cur_kal_05m_20200214	KP0972_HU_WP05	151	29.524065265604754	1.4755345898847787	0.01602308148877479	0.3905216814426366	1.7102987434022514	0.018869294817616424	0.4188692948176164
cur_kal_05m_20200214	KP0973_HU_WP05	223	16.05587375462511	1.588157493679308	0.001260989530920513	0.4837693822758149	1.9842929006105168	0.022754524258287615	0.42275452425828763
cur_kal_05m_20200214	KP0974_AC_WP05	3842	116.99575154108403	2.892090393419245	0.0	0.8576136462952498	1.7985043613877183	0.08727493792553166	0.48727493792553167
cur_kal_05m_20200214	KP0975_AC_WP05	503	55.97431742917539	1.9923297944632563	0.0	0.563668749686511	2.081137159761828	0.029716560417418644	0.4297165604174187
cur_kal_05m_20200214	KP0976_AC_WP05	43	55.716481127175875	1.3756933215954077	0.0	0.6815255548573124	2.1594460943943523	0.009474675681115386	0.4094746756811154
cur_kal_05m_20200214	KP0977_AC_WP05	139	57.749237608033134	1.7848422235393313	0.0	0.6174179621712121	2.0523638602147853	0.016717264439207423	0.4167172644392074
cur_kal_05m_20200214	KP0978_AC_WP05	5474	96.05989286165897	2.2235457389542153	0.0	0.42469030142847164	1.6091225776473281	0.08548662238080212	0.48548662238080215
