plot_name	sample_name	colony_points	colony_threeD_area	rot_colony_twoD_area	colony_rugosity	env_points	env_threeD_area	env_twoD_area	env_rugosity
cur_kal_20m_20200214	KP0287_LM_WP20	8402	0.05483013696737293	0.056769703357024165	1	209192	1.5855066108062166	0.757797889994614	2.092255246075554
cur_kal_20m_20200214	KP0288_LM_WP20	17958	0.13887491106529398	0.09345127971806769	1.4860675154397505	269162	2.0139764852621664	0.9599331965269994	2.0980381682273874
cur_kal_20m_20200214	KP0289_AC_WP20	3128	0.02150802582741101	0.013976220159059449	1.5389014756947295	194205	1.482817482524498	0.6834603448595976	2.169573543918062
cur_kal_20m_20200214	KP0290_LM_WP20	4281	0.03531185419796188	0.030035235244420422	1.175680959732842	167797	1.3166704366089734	0.733449019916367	1.7951764892386242
cur_kal_20m_20200214	KP0291_AC_WP20	537	0.0021338431891138733	0.0017238487157749545	1.2378366904166564	151765	1.1537854062742987	0.5183519451145402	2.2258726279484624
cur_kal_20m_20200214	KP0292_AC_WP20	1010	0.00843025283605371	0.0037275819282558526	2.2615875380633823	71096	0.5321057303614803	0.34753951893635926	1.5310653936277057
cur_kal_20m_20200214	KP0293_LM_WP20	25133	0.13916357982841507	0.11577506257052819	1.2020168828985862	288531	1.9872859713932902	1.0851197996194437	1.8313977609571221
cur_kal_20m_20200214	KP0294_AC_WP20	1848	0.014701967866496756	0.013896995823984978	1.0579241767578622	226988	1.4846461830015896	0.6304910364277471	2.354745899978749
cur_kal_20m_20200214	KP0295_AC_WP20	12045	0.06763973877624557	0.04914806184610136	1.3762442756755635	202271	1.3137061678948583	0.6864820138671797	1.9136789331075377
cur_kal_20m_20200214	KP0296_AC_WP20	429	0.0017589256860935242	0.0009712248970152692	1.811038505601521	116489	0.7170590397148872	0.4315353522481178	1.6616461107515548
cur_kal_20m_20200214	KP0297_AC_WP20	405	0.002239052427258596	0.001673445213130481	1.3379896812217982	125652	0.7788058252850035	0.43081272168880813	1.8077595810821103
cur_kal_20m_20200214	KP0298_AC_WP20	1031	0.0016313971175451146	0.0016032711980602723	1.017542833376456	234981	1.4526779500945646	0.6022696460470345	2.412005917331449
cur_kal_20m_20200214	KP0299_AC_WP20	905	0.004067955830482168	0.0030614216930611115	1.328779971639459	152604	0.9295723455203967	0.4797969927837977	1.937428453077598
cur_kal_20m_20200214	KP0300_AC_WP20	1254	0.0017780561864371043	0.0015363117462594382	1.157353766750959	185328	1.1310823219025528	0.48566890217875064	2.3289165042859947
cur_kal_20m_20200214	KP0301_AC_WP20	408	0.0017874778788132572	0.0012224582181059867	1.462199568327728	195779	1.2058342095805048	0.5313580638152822	2.269343954098141
cur_kal_20m_20200214	KP0302_AC_WP20	374	0.0010211624820376498	0.0010575879790346088	1	213599	1.3120632714089464	0.5395486955311037	2.4317791559433193
cur_kal_20m_20200214	KP0303_AC_WP20	1887	0.006011823417604175	0.004297278255673716	1.3989839754190312	216127	1.3392662995312061	0.5538573072593627	2.418071012113683
cur_kal_20m_20200214	KP0304_AC_WP20	10534	0.011718008548081854	0.011297594096653775	1.0372127417422974	267641	1.6610415275390318	0.7251498311326512	2.290618374611713
cur_kal_20m_20200214	KP0305_AC_WP20	3807	0.015187726819767738	0.010044822704735841	1.5119955091499193	169691	1.0741737771343698	0.5919414013872563	1.814662354444153
cur_kal_20m_20200214	KP0306_LM_WP20	2937	0.02246137953493637	0.021049262307010642	1.0670863048466743	144688	0.9679155137269714	0.6608466258661753	1.4646598406374842
cur_kal_20m_20200214	KP0309_AC_WP20	2042	0.008335605988664514	0.006918253207957034	1.2048714810087193	144356	0.9766382420349814	0.41341977925613943	2.3623403887260386
cur_kal_20m_20200214	KP0310_AC_WP20	10787	0.02988166074967646	0.019622265409235305	1.5228445914105577	152941	1.0463380024092723	0.4703329467982674	2.224675114792802
cur_kal_20m_20200214	KP0311_AC_WP20	504	0.0022633719403025907	0.0018316128492398343	1.235726175016706	137330	0.9511648178104287	0.37642159864421576	2.5268603641138188
cur_kal_20m_20200214	KP0312_AC_WP20	359	0.002143746666212724	0.0012405014529899233	1.7281291054079384	130834	0.8997972658672794	0.3493528652720127	2.5756115243728726
cur_kal_20m_20200214	KP0313_AC_WP20	1515	0.004300741190102447	0.00431653493431772	1	159053	1.1147002699412512	0.5320960211204527	2.0949231448752217
cur_kal_20m_20200214	KP0315_AC_WP20	1467	0.005890168193292125	0.0033373469400850954	1.764925343105604	143466	0.9091011697148664	0.3996427466451392	2.274784610371268
cur_kal_20m_20200214	KP0316_AC_WP20	111	0.0001383538329256674	0.00011348188775260842	1.219171055977497	132661	0.8544543312384019	0.3747475410601664	2.2800798874387214
cur_kal_20m_20200214	KP0317_AC_WP20	269	0.000355335736989373	0.00021245695048994858	1.6725070004531768	177562	1.1455450793182624	0.483508093775333	2.369236614786746
cur_kal_20m_20200214	KP0318_LM_WP20	661	0.005167805413756215	0.004353939152475975	1.1869264205994738	145853	0.999462266046881	0.5686771911797951	1.7575212819303796
cur_kal_20m_20200214	KP0319_LM_WP20	3417	0.016856751314628063	0.018107164856198472	1	159183	1.0688571387678627	0.6722008436678697	1.5900859822425013
cur_kal_20m_20200214	KP0320_LM_WP20	7582	0.025262061248036465	0.02692764211480887	1	234982	1.5983290990877566	0.9008052972125143	1.77433359243522
cur_kal_20m_20200214	KP0321_LM_WP20	938	0.007451010438036289	0.006734609135701897	1.1063760773489533	149556	1.0163497342614451	0.4963096381410827	2.0478138165282496
