plot_name	sample_name	colony_points	colony_2D_area	overhang_2D_area	overhang_prop
cur_kal_20m_20200214	KP0287_LM_WP20	8402	0.03411361467434105	0.019337660032972055	0.5668604812939129
cur_kal_20m_20200214	KP0288_LM_WP20	17958	0.09527063305957652	0.06251407548769358	0.6561736127921082
cur_kal_20m_20200214	KP0289_AC_WP20	3128	0.01656558034510238	0.0012793347881891609	0.07722849194156947
cur_kal_20m_20200214	KP0290_LM_WP20	4281	0.03262206336689408	0.0	0.0
cur_kal_20m_20200214	KP0291_AC_WP20	537	0.0012265791819945507	0.0011623171209363464	0.9476087137287726
cur_kal_20m_20200214	KP0292_AC_WP20	1010	0.003684570756608367	0.0	0.0
cur_kal_20m_20200214	KP0293_LM_WP20	25133	0.08907890817139526	0.001046584694893092	0.011748961862884261
cur_kal_20m_20200214	KP0294_AC_WP20	1848	0.006123262124434057	0.0038725309322793955	0.6324293903451528
cur_kal_20m_20200214	KP0295_AC_WP20	12045	0.052638770493171914	0.0010283338326853913	0.019535673478900548
cur_kal_20m_20200214	KP0296_AC_WP20	429	0.0016392342147660715	0.0	0.0
cur_kal_20m_20200214	KP0297_AC_WP20	405	0.0017601002854526146	4.910739142059682e-06	0.0027900337171963313
cur_kal_20m_20200214	KP0298_AC_WP20	1031	0.0024236566357990048	0.00027972741301441283	0.11541544659530344
cur_kal_20m_20200214	KP0299_AC_WP20	905	0.0033186161841437397	0.0	0.0
cur_kal_20m_20200214	KP0300_AC_WP20	1254	0.0013509439474845672	0.0003449987493223406	0.25537606498383736
cur_kal_20m_20200214	KP0301_AC_WP20	408	0.0018307806047329334	0.0	0.0
cur_kal_20m_20200214	KP0302_AC_WP20	374	0.0016989891337948358	0.0005305452054690588	0.31227109986515406
cur_kal_20m_20200214	KP0303_AC_WP20	1887	0.004367178495266702	0.0	0.0
cur_kal_20m_20200214	KP0304_AC_WP20	10534	0.005760974771987868	0.0	0.0
cur_kal_20m_20200214	KP0305_AC_WP20	3807	0.008078428826114589	0.0	0.0
cur_kal_20m_20200214	KP0306_LM_WP20	2937	0.01964035571360961	0.004315737963320435	0.21973827899307763
cur_kal_20m_20200214	KP0309_AC_WP20	2042	0.004845743782067311	0.0011450288013605862	0.23629577890560474
cur_kal_20m_20200214	KP0310_AC_WP20	10787	0.015299743650297275	0.0	0.0
cur_kal_20m_20200214	KP0311_AC_WP20	504	0.0022718453150034077	0.0	0.0
cur_kal_20m_20200214	KP0312_AC_WP20	359	0.0014805560506970224	0.0	0.0
cur_kal_20m_20200214	KP0313_AC_WP20	1515	0.0022313269007041498	0.0	0.0
cur_kal_20m_20200214	KP0315_AC_WP20	1467	0.004567589236366623	0.0	0.0
cur_kal_20m_20200214	KP0316_AC_WP20	111	0.000593563764800237	0.0	0.0
cur_kal_20m_20200214	KP0317_AC_WP20	269	0.0004570506180751719	7.0560049101477786e-06	0.015438125737283797
cur_kal_20m_20200214	KP0318_LM_WP20	661	0.005078358075392251	4.068250487242948e-05	0.008010956350155985
cur_kal_20m_20200214	KP0319_LM_WP20	3417	0.018017374635088765	0.017145244388982683	0.9515950429088813
cur_kal_20m_20200214	KP0320_LM_WP20	7582	0.027960849903173903	0.026576074059824255	0.9504744724089214
cur_kal_20m_20200214	KP0321_LM_WP20	938	0.00582602351358371	0.0004287354526710883	0.07358972233316032
cur_kal_20m_20200214	KP0322_LM_WP20	40636	0.14080106494786843	0.11379507677749542	0.808197557451913
cur_kal_20m_20200214	KP0323_AC_WP20	51	0.0001486341746988795	0.0	0.0
cur_kal_20m_20200214	KP0324_AC_WP20	4196	0.007000192443197764	0.0	0.0
cur_kal_20m_20200214	KP0325_AC_WP20	1526	0.0053548930049052805	3.862864199639323e-05	0.00721370939830319
cur_kal_20m_20200214	KP0326_AC_WP20	2733	0.005267258424386372	0.0	0.0
cur_kal_20m_20200214	KP0327_AC_WP20	4668	0.008180552738401008	0.0038881472132457624	0.47529150383617597
cur_kal_20m_20200214	KP0328_LM_WP20	2580	0.008352338394517123	0.00029154030213254675	0.03490523112951552
cur_kal_20m_20200214	KP0329_AC_WP20	5517	0.012167008287084662	0.0011568734679461945	0.09508282074355298
cur_kal_20m_20200214	KP0330_LM_WP20	10801	0.04718907227284997	0.0013773126844995784	0.029187110874650726
cur_kal_20m_20200214	KP0331_AC_WP20	3887	0.0175227939748644	0.004990373159356852	0.2847932336883776
cur_kal_20m_20200214	KP0332_AC_WP20	3836	0.009638526503689999	0.0	0.0
cur_kal_20m_20200214	KP0333_AC_WP20	269	0.0011071287659675582	0.0	0.0
cur_kal_20m_20200214	KP0334_AC_WP20	2638	0.006802332463206324	0.004022315846706329	0.5913142100100152
cur_kal_20m_20200214	KP0335_AC_WP20	692	0.0013710400349546067	0.0	0.0
cur_kal_20m_20200214	KP0336_AC_WP20	1282	0.005739122295902248	0.0	0.0
cur_kal_20m_20200214	KP0337_AC_WP20	1317	0.005810846080255483	0.0	0.0
cur_kal_20m_20200214	KP0338_AC_WP20	6595	0.01283941953458008	0.0	0.0
cur_kal_20m_20200214	KP0339_AC_WP20	339	0.0019809286715481737	0.00040828078780122477	0.2061057491192438
cur_kal_20m_20200214	KP0340_AC_WP20	7433	0.03944045978110182	0.0018355460115448779	0.04653967072727669
cur_kal_20m_20200214	KP0341_LM_WP20	5321	0.016990761587663585	0.012163961518387964	0.7159162027922165
cur_kal_20m_20200214	KP0342_LM_WP20	24461	0.04349391348466877	0.013639253811031737	0.31358994209245983
