plot_name	sample_name	colony_points	theta	psi	elevation	plane_i,	plane_j	plane_k	axis_i	axis_j	axis_k
cur_kal_20m_20200214	KP0504_AC_WP20	1508	-42.24696474527521	78.91365893163047	79.081002551955	-0.1720396261993416	0.9667068038936486	0.1894210186935906	0.9667068038936486	0.1720396261993416	-0.0
cur_kal_20m_20200214	KP0505_AC_WP20	15076	58.45277234082808	83.07585127769991	83.20622275835981	0.1926850399284903	0.9741039484765838	0.11829612398589037	0.9741039484765838	-0.1926850399284903	0.0
cur_kal_20m_20200214	KP0506_AC_WP20	2342	55.14271982155344	77.39808240791488	77.98309353360332	0.2989228630902769	0.9312882228413449	0.20820030720179325	0.9312882228413449	-0.2989228630902769	0.0
cur_kal_20m_20200214	KP0507_AC_WP20	1939	-71.96279220297292	85.15454761546454	85.31012350172384	-0.2510839089657281	0.9645059763789686	0.08176241304990083	0.9645059763789686	0.2510839089657281	-0.0
cur_kal_20m_20200214	KP0508_AC_WP20	2375	26.56429200754019	16.45745097303446	30.14504822145322	0.4323641003053639	0.25545426775220387	0.8647568455087931	0.25545426775220387	-0.4323641003053639	0.0
cur_kal_20m_20200214	KP0509_AC_WP20	411	0.4871513302752281	11.853095323442497	11.86254277789281	0.008321014488928257	0.20539595767253063	0.9786435823575705	0.20539595767253063	-0.008321014488928257	0.0
cur_kal_20m_20200214	KP0510_AC_WP20	553	-27.413212313020257	17.44141172917286	31.23178888434404	-0.4434798595973794	0.26864367324212696	0.8550767164169926	0.26864367324212696	0.4434798595973794	-0.0
cur_kal_20m_20200214	KP0511_AC_WP20	390	58.42454054047226	-64.77747334191584	110.49930156545945	-0.5697820973973505	0.7434454578734702	-0.35019596321600066	-0.7434454578734702	-0.5697820973973505	0.0
cur_kal_20m_20200214	KP0512_AC_WP20	731	-45.672141958704614	32.41852463922287	129.69485202002397	0.6538625328795691	-0.4056202384895959	-0.6386986850025275	0.4056202384895959	0.6538625328795691	-0.0
cur_kal_20m_20200214	KP0513_AC_WP20	92	55.68157400089179	15.901895292654194	56.17509034097589	0.8154649476396568	0.1585877795926384	0.556656838038417	0.1585877795926384	-0.8154649476396568	0.0
cur_kal_20m_20200214	KP0514_AC_WP20	1770	50.65351430176291	-86.4598720804943	93.53011704635102	-0.07510333837556035	0.9952729427441699	-0.06157319226909007	-0.9952729427441699	-0.07510333837556035	0.0
cur_kal_20m_20200214	KP0515_AC_WP20	2625	-20.398989785966066	48.82092986985668	50.24370027906281	-0.23782383471733679	0.73106051353456	0.6395235329453688	0.73106051353456	0.23782383471733679	-0.0
cur_kal_20m_20200214	KP0516_AC_WP20	1033	85.74962152670189	-86.50136921877187	92.70322515717261	-0.6345937633246167	0.7714054947796212	-0.047162677758033476	-0.7714054947796212	-0.6345937633246167	0.0
cur_kal_20m_20200214	KP0517_AC_WP20	431	71.1918315066721	51.52992698663546	72.61771769798183	0.8771497855567152	0.3759777423251382	0.2987456961596275	0.3759777423251382	-0.8771497855567152	0.0
cur_kal_20m_20200214	KP0518_LM_WP20	851	36.1879654519685	44.89526867902084	51.026928969788585	0.46012267894214615	0.6266599143984254	0.6289550635850394	0.6266599143984254	-0.46012267894214615	0.0
cur_kal_20m_20200214	KP0519_AC_WP20	219	57.705591614133276	59.1446428636457	66.53115932521715	0.6301057916137016	0.6666058833885279	0.39825028261969975	0.6666058833885279	-0.6301057916137016	0.0
cur_kal_20m_20200214	KP0520_AC_WP20	62	43.41236382456163	51.851412440187744	57.770324286037436	0.5045484768426611	0.6789745937272159	0.5333144809478856	0.6789745937272159	-0.5045484768426611	0.0
